"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pi16",0,3.15411600076181,0.89,0.079,0,"FAPs (Stem)","Pi16"
"Igfbp6",0,2.4155173214949,0.97,0.192,0,"FAPs (Stem)","Igfbp6"
"Clec3b",0,2.41349360999122,0.964,0.128,0,"FAPs (Stem)","Clec3b"
"Mfap5",0,2.29997007003735,0.98,0.154,0,"FAPs (Stem)","Mfap5"
"Igfbp5",0,2.28364749434532,0.726,0.154,0,"FAPs (Stem)","Igfbp5"
"Fbn1",0,2.15705456312104,0.94,0.161,0,"FAPs (Stem)","Fbn1"
"Has1",0,2.07554597368041,0.617,0.07,0,"FAPs (Stem)","Has1"
"Pcolce2",0,2.05435992782698,0.871,0.071,0,"FAPs (Stem)","Pcolce2"
"Fn1",0,2.01651288474752,0.968,0.274,0,"FAPs (Stem)","Fn1"
"Fstl1",0,1.9854232946223,0.981,0.226,0,"FAPs (Stem)","Fstl1"
"C3",0,1.9790969310543,0.833,0.171,0,"FAPs (Stem)","C3"
"Ugdh",0,1.97387500751752,0.85,0.216,0,"FAPs (Stem)","Ugdh"
"Tnfaip6",0,1.96645254568787,0.717,0.162,0,"FAPs (Stem)","Tnfaip6"
"Gsn",0,1.95802672897291,0.988,0.536,0,"FAPs (Stem)","Gsn"
"Dpt",0,1.95438793861726,0.964,0.173,0,"FAPs (Stem)","Dpt"
"Efemp1",0,1.92248769819306,0.836,0.063,0,"FAPs (Stem)","Efemp1"
"Ptx3",0,1.81643501412418,0.43,0.053,0,"FAPs (Stem)","Ptx3"
"Sema3c",0,1.81614114159253,0.804,0.058,0,"FAPs (Stem)","Sema3c"
"Cd248",0,1.77391775356181,0.846,0.078,0,"FAPs (Stem)","Cd248"
"Gfpt2",0,1.74820456858273,0.798,0.1,0,"FAPs (Stem)","Gfpt2"
"Cd34",0,1.72992472983966,0.96,0.255,0,"FAPs (Stem)","Cd34"
"Myoc",0,1.70467936149257,0.693,0.095,0,"FAPs (Stem)","Myoc"
"Adamts5",0,1.68825741774049,0.85,0.136,0,"FAPs (Stem)","Adamts5"
"Ackr3",0,1.67575555670646,0.859,0.133,0,"FAPs (Stem)","Ackr3"
"Tnxb",0,1.67514118331493,0.883,0.128,0,"FAPs (Stem)","Tnxb"
"Fndc1",0,1.6593247240274,0.897,0.127,0,"FAPs (Stem)","Fndc1"
"Uap1",0,1.63002939650782,0.83,0.282,0,"FAPs (Stem)","Uap1"
"Nid1",0,1.62934639522322,0.911,0.19,0,"FAPs (Stem)","Nid1"
"Cd55",0,1.60936764235653,0.767,0.078,0,"FAPs (Stem)","Cd55"
"Serping1",0,1.60363055276871,0.963,0.246,0,"FAPs (Stem)","Serping1"
"Ecm1",0,1.60233482824432,0.889,0.302,0,"FAPs (Stem)","Ecm1"
"Rarres2",0,1.600765372589,0.929,0.196,0,"FAPs (Stem)","Rarres2"
"Col14a1",0,1.55633401686945,0.798,0.095,0,"FAPs (Stem)","Col14a1"
"Pla1a",0,1.55596957745055,0.692,0.043,0,"FAPs (Stem)","Pla1a"
"Anxa3",0,1.54699449447112,0.879,0.349,0,"FAPs (Stem)","Anxa3"
"Col3a1",0,1.54611826045459,0.964,0.237,0,"FAPs (Stem)","Col3a1"
"Ppap2b",0,1.53654899111509,0.915,0.286,0,"FAPs (Stem)","Ppap2b"
"Scara5",0,1.50788780848085,0.796,0.071,0,"FAPs (Stem)","Scara5"
"Pcsk6",0,1.50060851820993,0.719,0.053,0,"FAPs (Stem)","Pcsk6"
"Timp2",0,1.48981574034066,0.975,0.492,0,"FAPs (Stem)","Timp2"
"Dcn",0,1.47856065596954,0.99,0.198,0,"FAPs (Stem)","Dcn"
"Axl",0,1.47360574521667,0.91,0.285,0,"FAPs (Stem)","Axl"
"Anxa1",0,1.46325600679647,0.937,0.43,0,"FAPs (Stem)","Anxa1"
"Ly6a",0,1.44481987539216,0.977,0.381,0,"FAPs (Stem)","Ly6a"
"Prss23",0,1.41783727119667,0.763,0.126,0,"FAPs (Stem)","Prss23"
"Tmem100",0,1.39068201833856,0.646,0.043,0,"FAPs (Stem)","Tmem100"
"Efhd1",0,1.38741301868167,0.682,0.02,0,"FAPs (Stem)","Efhd1"
"Ccl11",0,1.38172090146077,0.804,0.119,0,"FAPs (Stem)","Ccl11"
"Ogn",0,1.38040199107278,0.878,0.175,0,"FAPs (Stem)","Ogn"
"Htra3",0,1.37852470237274,0.885,0.176,0,"FAPs (Stem)","Htra3"
"Lrrn4cl",0,1.36544517602079,0.766,0.079,0,"FAPs (Stem)","Lrrn4cl"
"Rnase4",0,1.32954262059456,0.935,0.36,0,"FAPs (Stem)","Rnase4"
"Procr",0,1.32780600878743,0.624,0.089,0,"FAPs (Stem)","Procr"
"Mt2",0,1.31461875210922,0.877,0.335,0,"FAPs (Stem)","Mt2"
"S100a6",0,1.31199681968866,0.987,0.722,0,"FAPs (Stem)","S100a6"
"Islr",0,1.31030932110687,0.843,0.149,0,"FAPs (Stem)","Islr"
"Igfbp4",0,1.29858585148157,0.897,0.303,0,"FAPs (Stem)","Igfbp4"
"Aspn",0,1.28697554310908,0.758,0.127,0,"FAPs (Stem)","Aspn"
"Tppp3",0,1.26235389229813,0.811,0.268,0,"FAPs (Stem)","Tppp3"
"Loxl1",0,1.24192209457056,0.854,0.157,0,"FAPs (Stem)","Loxl1"
"Ebf1",0,1.23176106890934,0.924,0.254,0,"FAPs (Stem)","Ebf1"
"Ifi205",0,1.22457139834487,0.615,0.123,0,"FAPs (Stem)","Ifi205"
"Ace",0,1.21912006231871,0.738,0.119,0,"FAPs (Stem)","Ace"
"Pcolce",0,1.20314280071523,0.892,0.216,0,"FAPs (Stem)","Pcolce"
"Nov",0,1.19974490866486,0.587,0.044,0,"FAPs (Stem)","Nov"
"Gpr133",0,1.1947132972204,0.673,0.041,0,"FAPs (Stem)","Gpr133"
"Fbln2",0,1.17596991011524,0.866,0.231,0,"FAPs (Stem)","Fbln2"
"Gm12840",0,1.17456102277127,0.235,0.055,0,"FAPs (Stem)","Gm12840"
"Serpinf1",0,1.16832752040875,0.947,0.216,0,"FAPs (Stem)","Serpinf1"
"Col1a2",0,1.16227135188096,0.969,0.215,0,"FAPs (Stem)","Col1a2"
"Dpep1",0,1.15953775152928,0.729,0.105,0,"FAPs (Stem)","Dpep1"
"Serpinb6a",0,1.1459107832851,0.932,0.451,0,"FAPs (Stem)","Serpinb6a"
"Gstm1",0,1.14559728277198,0.867,0.393,0,"FAPs (Stem)","Gstm1"
"Nbl1",0,1.1428735327372,0.842,0.211,0,"FAPs (Stem)","Nbl1"
"Mmp2",0,1.14095812448457,0.887,0.193,0,"FAPs (Stem)","Mmp2"
"Thy1",0,1.13353524013351,0.686,0.13,0,"FAPs (Stem)","Thy1"
"C1s",0,1.12772531332193,0.813,0.151,0,"FAPs (Stem)","C1s"
"Mt1",0,1.12480528328926,0.943,0.587,0,"FAPs (Stem)","Mt1"
"Sparc",0,1.12436319899021,0.976,0.404,0,"FAPs (Stem)","Sparc"
"Nupr1",0,1.11720474884364,0.831,0.284,0,"FAPs (Stem)","Nupr1"
"Qpct",0,1.11703018918218,0.686,0.106,0,"FAPs (Stem)","Qpct"
"Sdc2",0,1.10542818747585,0.788,0.172,0,"FAPs (Stem)","Sdc2"
"Ddah2",0,1.09763510464864,0.812,0.214,0,"FAPs (Stem)","Ddah2"
"Aebp1",0,1.09740047794538,0.769,0.174,0,"FAPs (Stem)","Aebp1"
"Ddr2",0,1.09257834012817,0.733,0.131,0,"FAPs (Stem)","Ddr2"
"Col6a1",0,1.09142215489354,0.899,0.2,0,"FAPs (Stem)","Col6a1"
"Cadm3",0,1.08117548965769,0.621,0.034,0,"FAPs (Stem)","Cadm3"
"Sfrp4",0,1.06321585394521,0.461,0.031,0,"FAPs (Stem)","Sfrp4"
"Col5a1",0,1.05723257211035,0.739,0.149,0,"FAPs (Stem)","Col5a1"
"Sbsn",0,1.05407981439438,0.296,0.043,0,"FAPs (Stem)","Sbsn"
"Dpp4",0,1.05020525002914,0.587,0.041,0,"FAPs (Stem)","Dpp4"
"Tgfbr2",0,1.04786947245583,0.767,0.284,0,"FAPs (Stem)","Tgfbr2"
"Prkcdbp",0,1.04478182542044,0.849,0.277,0,"FAPs (Stem)","Prkcdbp"
"Entpd2",0,1.0409729068625,0.759,0.133,0,"FAPs (Stem)","Entpd2"
"Col6a2",0,1.03472173719623,0.86,0.174,0,"FAPs (Stem)","Col6a2"
"Col1a1",0,1.02755370694829,0.937,0.188,0,"FAPs (Stem)","Col1a1"
"Lbp",0,1.02020452027205,0.646,0.12,0,"FAPs (Stem)","Lbp"
"C1ra",0,1.01189977134349,0.73,0.139,0,"FAPs (Stem)","C1ra"
"Dbn1",0,1.00547477562082,0.636,0.085,0,"FAPs (Stem)","Dbn1"
"S100a16",0,1.00520897848012,0.88,0.302,0,"FAPs (Stem)","S100a16"
"Bmp1",0,1.00025189617815,0.731,0.137,0,"FAPs (Stem)","Bmp1"
"Ly6c1",0,0.996935596852412,0.951,0.242,0,"FAPs (Stem)","Ly6c1"
"Vasn",0,0.989729561853647,0.641,0.096,0,"FAPs (Stem)","Vasn"
"Serpine2",0,0.982538204138791,0.666,0.151,0,"FAPs (Stem)","Serpine2"
"Mgst1",0,0.977601142836594,0.834,0.287,0,"FAPs (Stem)","Mgst1"
"Col5a2",0,0.974969240691249,0.794,0.187,0,"FAPs (Stem)","Col5a2"
"Ebf2",0,0.97413115839335,0.625,0.08,0,"FAPs (Stem)","Ebf2"
"Oaf",0,0.966238105986355,0.744,0.171,0,"FAPs (Stem)","Oaf"
"Nenf",0,0.96060148982183,0.896,0.418,0,"FAPs (Stem)","Nenf"
"Adamts2",0,0.960110472260665,0.686,0.116,0,"FAPs (Stem)","Adamts2"
"Plat",0,0.954180079333268,0.665,0.135,0,"FAPs (Stem)","Plat"
"Il33",0,0.951719753407985,0.498,0.068,0,"FAPs (Stem)","Il33"
"Itih5",0,0.946926629854575,0.75,0.161,0,"FAPs (Stem)","Itih5"
"Tuba1a",0,0.939436633023494,0.884,0.452,0,"FAPs (Stem)","Tuba1a"
"Lamc1",0,0.938652848896878,0.751,0.222,0,"FAPs (Stem)","Lamc1"
"Man1a",0,0.933680831000937,0.766,0.279,0,"FAPs (Stem)","Man1a"
"S100a13",0,0.928155196059279,0.925,0.544,0,"FAPs (Stem)","S100a13"
"Medag",0,0.922840145899943,0.7,0.144,0,"FAPs (Stem)","Medag"
"Cpq",0,0.922663681512687,0.706,0.196,0,"FAPs (Stem)","Cpq"
"Emilin2",0,0.917382003633426,0.742,0.231,0,"FAPs (Stem)","Emilin2"
"Marcks",0,0.917094964540991,0.931,0.591,0,"FAPs (Stem)","Marcks"
"Plxdc2",0,0.912430343323088,0.76,0.177,0,"FAPs (Stem)","Plxdc2"
"Ndn",0,0.90574659547521,0.673,0.114,0,"FAPs (Stem)","Ndn"
"Htra1",0,0.905017254125403,0.711,0.157,0,"FAPs (Stem)","Htra1"
"Col5a3",0,0.892000062186968,0.658,0.154,0,"FAPs (Stem)","Col5a3"
"Heg1",0,0.889120033414719,0.693,0.151,0,"FAPs (Stem)","Heg1"
"Stmn4",0,0.886785077288721,0.392,0.005,0,"FAPs (Stem)","Stmn4"
"Antxr1",0,0.88330962265686,0.617,0.11,0,"FAPs (Stem)","Antxr1"
"Sod3",0,0.87431305499239,0.664,0.114,0,"FAPs (Stem)","Sod3"
"Nfix",0,0.873438581490535,0.784,0.283,0,"FAPs (Stem)","Nfix"
"Prrx1",0,0.869835070574936,0.68,0.158,0,"FAPs (Stem)","Prrx1"
"Cyb5",0,0.866050885564293,0.885,0.475,0,"FAPs (Stem)","Cyb5"
"Serpinh1",0,0.865262079462714,0.931,0.361,0,"FAPs (Stem)","Serpinh1"
"Gas7",0,0.85945037275114,0.57,0.181,0,"FAPs (Stem)","Gas7"
"Ccdc80",0,0.855636227035637,0.549,0.142,0,"FAPs (Stem)","Ccdc80"
"Metrnl",0,0.85529181896956,0.761,0.339,0,"FAPs (Stem)","Metrnl"
"Ahnak2",0,0.853667945795023,0.601,0.147,0,"FAPs (Stem)","Ahnak2"
"Zfp385a",0,0.850993580460494,0.55,0.112,0,"FAPs (Stem)","Zfp385a"
"Cxcl1",0,0.8504938486335,0.611,0.238,0,"FAPs (Stem)","Cxcl1"
"Klf4",0,0.847181973690152,0.899,0.537,0,"FAPs (Stem)","Klf4"
"Camk2n1",0,0.835233282737253,0.667,0.167,0,"FAPs (Stem)","Camk2n1"
"Abca8a",0,0.833031644709207,0.624,0.142,0,"FAPs (Stem)","Abca8a"
"Thbd",0,0.829728261767879,0.614,0.158,0,"FAPs (Stem)","Thbd"
"D630033O11Rik",0,0.821087779591515,0.402,0.022,0,"FAPs (Stem)","D630033O11Rik"
"Pamr1",0,0.816955901668357,0.516,0.042,0,"FAPs (Stem)","Pamr1"
"Selm",0,0.816776407335066,0.849,0.335,0,"FAPs (Stem)","Selm"
"Vcan",0,0.813614679652987,0.626,0.137,0,"FAPs (Stem)","Vcan"
"Timp3",0,0.813326067251358,0.817,0.254,0,"FAPs (Stem)","Timp3"
"Pdgfra",0,0.80992552309464,0.629,0.114,0,"FAPs (Stem)","Pdgfra"
"Pam",0,0.806540613195001,0.672,0.221,0,"FAPs (Stem)","Pam"
"Fst",0,0.805459372544764,0.49,0.077,0,"FAPs (Stem)","Fst"
"S100a11",0,0.79934879799314,0.951,0.667,0,"FAPs (Stem)","S100a11"
"Lpar1",0,0.798298541192311,0.681,0.162,0,"FAPs (Stem)","Lpar1"
"Antxr2",0,0.796963094273169,0.675,0.223,0,"FAPs (Stem)","Antxr2"
"Fxyd1",0,0.793090870469212,0.815,0.24,0,"FAPs (Stem)","Fxyd1"
"Lrp1",0,0.786817240907419,0.851,0.415,0,"FAPs (Stem)","Lrp1"
"Tmeff2",0,0.784611554379514,0.521,0.046,0,"FAPs (Stem)","Tmeff2"
"Prg4",0,0.783001888957153,0.286,0.084,0,"FAPs (Stem)","Prg4"
"Ccl7",0,0.782341613912851,0.454,0.221,0,"FAPs (Stem)","Ccl7"
"Tmem158",0,0.778126782189977,0.432,0.05,0,"FAPs (Stem)","Tmem158"
"Calu",0,0.772126767103823,0.784,0.343,0,"FAPs (Stem)","Calu"
"Ptgs2",0,0.771451684112451,0.444,0.105,0,"FAPs (Stem)","Ptgs2"
"Dact1",0,0.757588985248672,0.46,0.056,0,"FAPs (Stem)","Dact1"
"Abi3bp",0,0.752904808954044,0.715,0.15,0,"FAPs (Stem)","Abi3bp"
"Lum",0,0.749169890679658,0.804,0.153,0,"FAPs (Stem)","Lum"
"Thbs3",0,0.748575171193739,0.554,0.093,0,"FAPs (Stem)","Thbs3"
"Fbln5",0,0.745822220261088,0.62,0.128,0,"FAPs (Stem)","Fbln5"
"Mmp23",0,0.745815545962516,0.517,0.077,0,"FAPs (Stem)","Mmp23"
"Itm2a",0,0.744874053913587,0.677,0.224,0,"FAPs (Stem)","Itm2a"
"Scara3",0,0.744372905995732,0.532,0.075,0,"FAPs (Stem)","Scara3"
"Smpd3",0,0.743116069629152,0.287,0.01,0,"FAPs (Stem)","Smpd3"
"Hspb8",0,0.740799183148295,0.568,0.095,0,"FAPs (Stem)","Hspb8"
"Creb5",0,0.738608493308658,0.526,0.088,0,"FAPs (Stem)","Creb5"
"Arl4a",0,0.736160774217609,0.618,0.226,0,"FAPs (Stem)","Arl4a"
"Ppp1r14b",0,0.730443112130147,0.785,0.406,0,"FAPs (Stem)","Ppp1r14b"
"Ramp2",0,0.72142327860669,0.791,0.236,0,"FAPs (Stem)","Ramp2"
"Gnpnat1",0,0.718530836907831,0.535,0.125,0,"FAPs (Stem)","Gnpnat1"
"Krtdap",0,0.708240024076937,0.125,0.001,0,"FAPs (Stem)","Krtdap"
"Smim14",0,0.702544696666693,0.845,0.482,0,"FAPs (Stem)","Smim14"
"Atf5",0,0.700599314312202,0.624,0.188,0,"FAPs (Stem)","Atf5"
"Sult5a1",0,0.699911753255368,0.424,0.057,0,"FAPs (Stem)","Sult5a1"
"Crip1",0,0.696703462577898,0.969,0.726,0,"FAPs (Stem)","Crip1"
"Rcn3",0,0.693872476433335,0.706,0.203,0,"FAPs (Stem)","Rcn3"
"S100a10",0,0.692475068730491,0.953,0.686,0,"FAPs (Stem)","S100a10"
"Enpp2",0,0.688145502390733,0.463,0.091,0,"FAPs (Stem)","Enpp2"
"Fgfr1",0,0.685296611618151,0.791,0.277,0,"FAPs (Stem)","Fgfr1"
"Lamb2",0,0.678315046816782,0.648,0.178,0,"FAPs (Stem)","Lamb2"
"Mxra8",0,0.677654522975118,0.707,0.192,0,"FAPs (Stem)","Mxra8"
"Olfml2b",0,0.672913087207003,0.564,0.128,0,"FAPs (Stem)","Olfml2b"
"Add3",0,0.669103731342494,0.63,0.203,0,"FAPs (Stem)","Add3"
"Mustn1",0,0.666075313393215,0.607,0.107,0,"FAPs (Stem)","Mustn1"
"RP23-103I12.13",0,0.665141059117276,0.505,0.079,0,"FAPs (Stem)","RP23-103I12.13"
"Ltbp1",0,0.66305904527736,0.51,0.089,0,"FAPs (Stem)","Ltbp1"
"Fyn",0,0.659035042100069,0.63,0.192,0,"FAPs (Stem)","Fyn"
"Fkbp9",0,0.656710830906033,0.702,0.224,0,"FAPs (Stem)","Fkbp9"
"Nova1",0,0.656090365923589,0.425,0.031,0,"FAPs (Stem)","Nova1"
"Efemp2",0,0.655398695135417,0.577,0.147,0,"FAPs (Stem)","Efemp2"
"Dcbld2",0,0.654533446883625,0.478,0.072,0,"FAPs (Stem)","Dcbld2"
"Lama4",0,0.653801741438222,0.595,0.148,0,"FAPs (Stem)","Lama4"
"Ahnak",0,0.65157929455274,0.944,0.673,0,"FAPs (Stem)","Ahnak"
"Ntn1",0,0.651489643999988,0.455,0.061,0,"FAPs (Stem)","Ntn1"
"Fap",0,0.651475850145602,0.516,0.105,0,"FAPs (Stem)","Fap"
"Osr2",0,0.648646931141123,0.376,0.042,0,"FAPs (Stem)","Osr2"
"Adam33",0,0.648295639339198,0.401,0.056,0,"FAPs (Stem)","Adam33"
"Anxa2",0,0.647917923053381,0.925,0.635,0,"FAPs (Stem)","Anxa2"
"Tgfbr3",0,0.647203449075886,0.586,0.148,0,"FAPs (Stem)","Tgfbr3"
"Mmp14",0,0.642442482569467,0.644,0.251,0,"FAPs (Stem)","Mmp14"
"Steap3",0,0.637944311543575,0.523,0.119,0,"FAPs (Stem)","Steap3"
"Fez1",0,0.636486953999799,0.446,0.039,0,"FAPs (Stem)","Fez1"
"Rhoc",0,0.635642983244149,0.798,0.354,0,"FAPs (Stem)","Rhoc"
"Aldh1a3",0,0.634515655385684,0.271,0.012,0,"FAPs (Stem)","Aldh1a3"
"Errfi1",0,0.632180880835083,0.689,0.353,0,"FAPs (Stem)","Errfi1"
"1700019D03Rik",0,0.631741464786192,0.394,0.013,0,"FAPs (Stem)","1700019D03Rik"
"Pmp22",0,0.629601821102548,0.801,0.315,0,"FAPs (Stem)","Pmp22"
"Uqcc2",0,0.62933646766975,0.781,0.444,0,"FAPs (Stem)","Uqcc2"
"Vkorc1",0,0.621623734861591,0.673,0.249,0,"FAPs (Stem)","Vkorc1"
"Ppic",0,0.620880153539541,0.719,0.25,0,"FAPs (Stem)","Ppic"
"Ms4a4d",0,0.6193648584758,0.541,0.102,0,"FAPs (Stem)","Ms4a4d"
"Egfr",0,0.618599353674258,0.529,0.131,0,"FAPs (Stem)","Egfr"
"Tmed3",0,0.617981820214532,0.768,0.398,0,"FAPs (Stem)","Tmed3"
"Col6a3",0,0.617784492683763,0.719,0.165,0,"FAPs (Stem)","Col6a3"
"Phlda1",0,0.617017728099461,0.659,0.323,0,"FAPs (Stem)","Phlda1"
"Bmp2",0,0.617004201454155,0.349,0.056,0,"FAPs (Stem)","Bmp2"
"Gpx8",0,0.616647490304063,0.621,0.161,0,"FAPs (Stem)","Gpx8"
"Plac9b",0,0.616422512009046,0.339,0.037,0,"FAPs (Stem)","Plac9b"
"Ltbp4",0,0.615595998614248,0.677,0.255,0,"FAPs (Stem)","Ltbp4"
"Ctsk",0,0.614881207731971,0.603,0.165,0,"FAPs (Stem)","Ctsk"
"Slc43a3",0,0.610556123481307,0.64,0.215,0,"FAPs (Stem)","Slc43a3"
"Laptm4a",0,0.608469110280789,0.953,0.712,0,"FAPs (Stem)","Laptm4a"
"Arhgap20",0,0.608216220287447,0.459,0.071,0,"FAPs (Stem)","Arhgap20"
"Postn",0,0.606658251914732,0.31,0.093,0,"FAPs (Stem)","Postn"
"Cd47",0,0.606610796248415,0.901,0.615,0,"FAPs (Stem)","Cd47"
"Glul",0,0.605191614850398,0.637,0.425,0,"FAPs (Stem)","Glul"
"Rhoq",0,0.605143144739102,0.553,0.182,0,"FAPs (Stem)","Rhoq"
"Hn1",0,0.597764951381543,0.827,0.512,0,"FAPs (Stem)","Hn1"
"Gpc6",0,0.597376632241916,0.416,0.056,0,"FAPs (Stem)","Gpc6"
"Sntb2",0,0.593504767871369,0.622,0.229,0,"FAPs (Stem)","Sntb2"
"Csrp2",0,0.592370013530239,0.549,0.202,0,"FAPs (Stem)","Csrp2"
"Aif1l",0,0.590139622947753,0.353,0.036,0,"FAPs (Stem)","Aif1l"
"Cd302",0,0.589778380527844,0.761,0.361,0,"FAPs (Stem)","Cd302"
"Lama2",0,0.589506562283011,0.548,0.132,0,"FAPs (Stem)","Lama2"
"Nedd4",0,0.579807518730744,0.834,0.387,0,"FAPs (Stem)","Nedd4"
"Gadd45g",0,0.579133573033495,0.682,0.369,0,"FAPs (Stem)","Gadd45g"
"Mnda",0,0.578614728592069,0.512,0.201,0,"FAPs (Stem)","Mnda"
"Sfrp2",0,0.575754925172757,0.237,0.043,0,"FAPs (Stem)","Sfrp2"
"Fcgrt",0,0.573571685816099,0.801,0.385,0,"FAPs (Stem)","Fcgrt"
"Fhl1",0,0.571682305407435,0.65,0.171,0,"FAPs (Stem)","Fhl1"
"Angptl1",0,0.566907401318076,0.462,0.115,0,"FAPs (Stem)","Angptl1"
"Kdelc2",0,0.564856116697337,0.468,0.103,0,"FAPs (Stem)","Kdelc2"
"Txndc5",0,0.56461018924839,0.644,0.272,0,"FAPs (Stem)","Txndc5"
"Dact2",0,0.564586262584469,0.22,0.005,0,"FAPs (Stem)","Dact2"
"Lima1",0,0.563022318574343,0.611,0.237,0,"FAPs (Stem)","Lima1"
"Mtch1",0,0.562985013230524,0.784,0.449,0,"FAPs (Stem)","Mtch1"
"Slit3",0,0.562457145689432,0.445,0.073,0,"FAPs (Stem)","Slit3"
"Spry2",0,0.561505122687948,0.479,0.144,0,"FAPs (Stem)","Spry2"
"Triobp",0,0.560799438009973,0.556,0.182,0,"FAPs (Stem)","Triobp"
"Prelp",0,0.558114905024434,0.641,0.151,0,"FAPs (Stem)","Prelp"
"Bicc1",0,0.557498786172706,0.575,0.15,0,"FAPs (Stem)","Bicc1"
"Vat1",0,0.556000960464738,0.693,0.313,0,"FAPs (Stem)","Vat1"
"Dpysl3",0,0.554941932806408,0.544,0.146,0,"FAPs (Stem)","Dpysl3"
"Cyr61",0,0.550115832863126,0.617,0.249,0,"FAPs (Stem)","Cyr61"
"Has2",0,0.5499428095837,0.315,0.035,0,"FAPs (Stem)","Has2"
"Dnm1",0,0.549878362925557,0.424,0.056,0,"FAPs (Stem)","Dnm1"
"Opcml",0,0.549500790405393,0.321,0.012,0,"FAPs (Stem)","Opcml"
"Flrt2",0,0.548917283246764,0.382,0.071,0,"FAPs (Stem)","Flrt2"
"Sulf1",0,0.548308000182068,0.452,0.088,0,"FAPs (Stem)","Sulf1"
"Golim4",0,0.545676817570585,0.518,0.171,0,"FAPs (Stem)","Golim4"
"Il11ra1",0,0.540878163156413,0.702,0.282,0,"FAPs (Stem)","Il11ra1"
"Ablim1",0,0.530266365779056,0.621,0.174,0,"FAPs (Stem)","Ablim1"
"Galnt16",0,0.529565263421589,0.372,0.022,0,"FAPs (Stem)","Galnt16"
"Dpysl2",0,0.52931143143932,0.67,0.319,0,"FAPs (Stem)","Dpysl2"
"Lurap1l",0,0.528949893349564,0.344,0.042,0,"FAPs (Stem)","Lurap1l"
"Fbln1",0,0.527838532597482,0.405,0.095,0,"FAPs (Stem)","Fbln1"
"Nfia",0,0.52706148873617,0.658,0.26,0,"FAPs (Stem)","Nfia"
"Kdelr2",0,0.523998868766745,0.715,0.385,0,"FAPs (Stem)","Kdelr2"
"Ptgis",0,0.523195892100705,0.334,0.038,0,"FAPs (Stem)","Ptgis"
"Ifi27",0,0.523005887092508,0.756,0.403,0,"FAPs (Stem)","Ifi27"
"Wnt2",0,0.522909741655737,0.257,0.004,0,"FAPs (Stem)","Wnt2"
"Loxl2",0,0.522847242607472,0.405,0.076,0,"FAPs (Stem)","Loxl2"
"Tshz2",0,0.522781220707283,0.645,0.205,0,"FAPs (Stem)","Tshz2"
"Pcdhga9",0,0.522505273375598,0.601,0.206,0,"FAPs (Stem)","Pcdhga9"
"Pmepa1",0,0.521377121293672,0.629,0.288,0,"FAPs (Stem)","Pmepa1"
"Maged2",0,0.519740701924522,0.47,0.157,0,"FAPs (Stem)","Maged2"
"Uchl1",0,0.518890182308147,0.295,0.025,0,"FAPs (Stem)","Uchl1"
"Rhoj",0,0.518855357624261,0.694,0.247,0,"FAPs (Stem)","Rhoj"
"Cd164",0,0.518305193517454,0.653,0.321,0,"FAPs (Stem)","Cd164"
"Ptrf",0,0.516350461700605,0.852,0.322,0,"FAPs (Stem)","Ptrf"
"Tnfsf9",0,0.515373702222259,0.344,0.115,0,"FAPs (Stem)","Tnfsf9"
"Lamb1",0,0.514936241304381,0.524,0.136,0,"FAPs (Stem)","Lamb1"
"Anpep",0,0.511745574330693,0.437,0.124,0,"FAPs (Stem)","Anpep"
"Prnp",0,0.510304430022657,0.636,0.23,0,"FAPs (Stem)","Prnp"
"Adamts1",0,0.510191860706422,0.623,0.225,0,"FAPs (Stem)","Adamts1"
"Npdc1",0,0.508995902966096,0.579,0.184,0,"FAPs (Stem)","Npdc1"
"Gpc3",0,0.506324526883604,0.368,0.078,0,"FAPs (Stem)","Gpc3"
"Pde8a",0,0.500344739605051,0.446,0.113,0,"FAPs (Stem)","Pde8a"
"Adamtsl3",0,0.500231362238475,0.338,0.042,0,"FAPs (Stem)","Adamtsl3"
"Sash1",0,0.500229958538681,0.595,0.28,0,"FAPs (Stem)","Sash1"
"Il18",0,0.499985506636174,0.374,0.11,0,"FAPs (Stem)","Il18"
"Rbms3",0,0.499118456240398,0.455,0.12,0,"FAPs (Stem)","Rbms3"
"Sptbn1",0,0.49621856173709,0.851,0.424,0,"FAPs (Stem)","Sptbn1"
"Nav1",0,0.495795358079816,0.58,0.259,0,"FAPs (Stem)","Nav1"
"Osr1",0,0.494801523986466,0.325,0.045,0,"FAPs (Stem)","Osr1"
"Il6",0,0.493063378871473,0.286,0.082,0,"FAPs (Stem)","Il6"
"Dtnbp1",0,0.491703650914985,0.635,0.319,0,"FAPs (Stem)","Dtnbp1"
"Csf1",0,0.491605787842391,0.593,0.17,0,"FAPs (Stem)","Csf1"
"Angptl2",0,0.491225482737712,0.49,0.137,0,"FAPs (Stem)","Angptl2"
"Ar",0,0.491220724097453,0.43,0.096,0,"FAPs (Stem)","Ar"
"Gpx7",0,0.490249648174921,0.477,0.127,0,"FAPs (Stem)","Gpx7"
"Sgce",0,0.488971944445155,0.527,0.144,0,"FAPs (Stem)","Sgce"
"Rcn1",0,0.487546347476572,0.539,0.173,0,"FAPs (Stem)","Rcn1"
"Ptgfrn",0,0.487543018026875,0.476,0.134,0,"FAPs (Stem)","Ptgfrn"
"Fkbp7",0,0.486405811389669,0.588,0.192,0,"FAPs (Stem)","Fkbp7"
