"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Bag3.11",0,-0.431574578481378,0.127,0.35,0,"Myonuclei (Type IIx)","Bag3"
"Ece1.13",0,-0.43235098221703,0.039,0.239,0,"Myonuclei (Type IIx)","Ece1"
"Mrc1.16",0,-0.432594681371347,0.061,0.18,0,"Myonuclei (Type IIx)","Mrc1"
"Lrp10.1",0,-0.432649635396449,0.019,0.301,0,"Myonuclei (Type IIx)","Lrp10"
"Gas7.10",0,-0.432779731608316,0.004,0.209,0,"Myonuclei (Type IIx)","Gas7"
"Yipf3.1",0,-0.432869099811059,0.033,0.326,0,"Myonuclei (Type IIx)","Yipf3"
"Rassf1.5",0,-0.432885611951283,0.077,0.372,0,"Myonuclei (Type IIx)","Rassf1"
"Ahsa1.1",0,-0.432921614064759,0.092,0.4,0,"Myonuclei (Type IIx)","Ahsa1"
"Apobec1.13",0,-0.433167630480286,0.005,0.225,0,"Myonuclei (Type IIx)","Apobec1"
"Cdc42se1.2",0,-0.433730250765208,0.019,0.296,0,"Myonuclei (Type IIx)","Cdc42se1"
"Carhsp1.3",0,-0.434159858317751,0.005,0.246,0,"Myonuclei (Type IIx)","Carhsp1"
"Adamts4.13",0,-0.434205110716397,0.002,0.109,0,"Myonuclei (Type IIx)","Adamts4"
"Mfap2.15",0,-0.434327021468939,0.002,0.128,0,"Myonuclei (Type IIx)","Mfap2"
"Xaf1.5",0,-0.434389338349143,0.005,0.227,0,"Myonuclei (Type IIx)","Xaf1"
"Cd97.10",0,-0.43503363429419,0.047,0.284,0,"Myonuclei (Type IIx)","Cd97"
"AB124611.13",0,-0.43509368224563,0.002,0.205,0,"Myonuclei (Type IIx)","AB124611"
"Map4k4.2",0,-0.435241369791407,0.037,0.309,0,"Myonuclei (Type IIx)","Map4k4"
"Gm5428.6",0,-0.435386534573531,0.026,0.228,0,"Myonuclei (Type IIx)","Gm5428"
"Tcirg1.8",0,-0.435663236070814,0.035,0.283,0,"Myonuclei (Type IIx)","Tcirg1"
"Tcn2.8",0,-0.436117772966615,0.016,0.277,0,"Myonuclei (Type IIx)","Tcn2"
"Sumo3.1",0,-0.436620686540761,0.077,0.395,0,"Myonuclei (Type IIx)","Sumo3"
"Pde4b.10",0,-0.436686030500064,0.133,0.335,0,"Myonuclei (Type IIx)","Pde4b"
"Dhrs7.5",0,-0.436763038525986,0.019,0.283,0,"Myonuclei (Type IIx)","Dhrs7"
"Furin.4",0,-0.437645553089834,0.044,0.31,0,"Myonuclei (Type IIx)","Furin"
"Rpl27-ps3.5",0,-0.437775482470335,0.032,0.231,0,"Myonuclei (Type IIx)","Rpl27-ps3"
"Eif2s1.3",0,-0.437815706173369,0.057,0.329,0,"Myonuclei (Type IIx)","Eif2s1"
"Dock2.17",0,-0.437883805193477,0.002,0.211,0,"Myonuclei (Type IIx)","Dock2"
"Pcna.2",0,-0.438896790139416,0.011,0.251,0,"Myonuclei (Type IIx)","Pcna"
"Ppp2r1a.1",0,-0.439073740048384,0.047,0.351,0,"Myonuclei (Type IIx)","Ppp2r1a"
"Irf2bpl.4",0,-0.439175530395075,0.034,0.277,0,"Myonuclei (Type IIx)","Irf2bpl"
"Icam2.13",0,-0.439730246247235,0.002,0.113,0,"Myonuclei (Type IIx)","Icam2"
"Trappc2l.2",0,-0.43996911454666,0.075,0.38,0,"Myonuclei (Type IIx)","Trappc2l"
"4930523C07Rik.10",0,-0.440206158679835,0.002,0.188,0,"Myonuclei (Type IIx)","4930523C07Rik"
"BC028528.12",0,-0.440223928403624,0.004,0.214,0,"Myonuclei (Type IIx)","BC028528"
"Cope.1",0,-0.44035548284371,0.15,0.491,0,"Myonuclei (Type IIx)","Cope"
"Ace.15",0,-0.440770148942418,0.006,0.154,0,"Myonuclei (Type IIx)","Ace"
"Rab8a.2",0,-0.441242264120589,0.014,0.3,0,"Myonuclei (Type IIx)","Rab8a"
"Eif3l.3",0,-0.441275621827074,0.069,0.382,0,"Myonuclei (Type IIx)","Eif3l"
"Clec4a1.15",0,-0.44149044056538,0.002,0.176,0,"Myonuclei (Type IIx)","Clec4a1"
"Pdgfra.16",0,-0.441851767792487,0.007,0.145,0,"Myonuclei (Type IIx)","Pdgfra"
