"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Slco3a1",4.76575661198808e-147,-0.620485226504214,0.124,0.157,1.34646921558499e-142
"Heatr3",6.65110346548008e-147,-0.564741150873751,0.102,0.134,1.87913626210209e-142
"Phf20",3.70101466375014e-146,-0.260266416024892,0.187,0.115,1.04564767294933e-141
"Fastk",5.15099668394906e-146,-0.61756386007814,0.163,0.193,1.45531109311613e-141
"Dhx30",1.88629169658258e-145,-0.567743710370907,0.132,0.165,5.32933993035476e-141
"Zbtb44",1.47752652641894e-144,-0.578819169112409,0.113,0.145,4.17445569509144e-140
"Uri1",2.62588956985052e-144,-0.701161666566603,0.16,0.187,7.41892580169868e-140
"Mtm1",4.39635992238304e-144,-0.51527992418509,0.083,0.115,1.24210356887088e-139
"Zc3h7a",5.45540259010151e-144,-0.786240149569816,0.266,0.279,1.54131489378138e-139
"Stub1",2.46653099742865e-143,-0.787089214575253,0.417,0.388,6.96869002703515e-139
"BC003331",4.03531140688131e-143,-0.301438349587689,0.186,0.114,1.14009653178618e-138
"Dab2ip",4.27734982144988e-142,-0.478303092337918,0.12,0.156,1.20847964505423e-137
"Txndc11",6.97750976134242e-141,-0.655599328841399,0.153,0.182,1.97135583287207e-136
"Cul5",2.99795280854869e-139,-0.792543976327452,0.229,0.243,8.47011606999262e-135
"Tle4",5.81626198511363e-139,-0.671374335223182,0.158,0.187,1.64326849865415e-134
"Cux1",5.59606624082637e-138,-0.319648358791182,0.348,0.225,1.58105659502067e-133
"Ep400",1.30416300711298e-137,-0.309873179372961,0.248,0.158,3.68465174399631e-133
"Zfx",1.87543086082053e-137,-0.274348098052557,0.175,0.107,5.29865481107625e-133
"Tapt1",4.05692379340058e-137,-0.466280825195778,0.073,0.103,1.14620267934947e-132
"Fbxw5",4.64785942165635e-137,-0.4826650751517,0.108,0.141,1.31315972240057e-132
"Gatsl2",5.40110412670911e-137,-0.530344587277871,0.081,0.112,1.52597394891913e-132
"Anapc1",6.49476011593893e-137,-0.646883217087337,0.144,0.173,1.83496457555623e-132
"Mllt4",9.60534815962067e-137,-0.308427333589098,0.191,0.232,2.71379901553763e-132
"Nae1",3.14991805522957e-136,-0.252380654604946,0.189,0.119,8.89946348144011e-132
"Utp20",4.23030046474253e-135,-0.482629110242609,0.073,0.104,1.19518679030371e-130
"Top3b",6.88228332559332e-135,-0.498745064611677,0.097,0.129,1.94445150797988e-130
"Zfp395",5.53774366333653e-134,-0.422923274403757,0.073,0.105,1.56457871720247e-129
"Wapal",6.22382778476384e-134,-0.761425348275142,0.323,0.312,1.75841806402933e-129
"Camsap1",6.68248864202436e-134,-0.518050840452765,0.081,0.111,1.88800351603114e-129
"Amd1",3.53741795076125e-133,-0.936588888421748,0.18,0.206,9.99426693628575e-129
"Dicer1",4.0560461734996e-133,-0.582148088257736,0.12,0.151,1.14595472539884e-128
"5730455P16Rik",9.50521733415574e-133,-0.492124407294966,0.073,0.103,2.68550905341902e-128
"Pigu",1.96708531837919e-132,-0.547146714521031,0.094,0.125,5.55760615001673e-128
"Pik3ip1",6.70977032598717e-132,-0.47332293450969,0.088,0.12,1.89571141020116e-127
"Ppp2r2d",9.73675838611596e-132,-0.306155651804395,0.229,0.147,2.75092634682934e-127
"Setd7",3.11108076221834e-131,-0.649729959011202,0.139,0.168,8.78973647749546e-127
"Arfgef2",6.81921121251163e-131,-0.533416542979415,0.091,0.121,1.92663174387091e-126
"Arid1a",8.67992416500807e-131,-0.318643713663653,0.284,0.186,2.45233897433973e-126
"Sidt2",1.57525988276769e-130,-0.259372599671511,0.213,0.137,4.45058174678357e-126
"Sept11",2.5320098380102e-130,-0.710922151853516,0.259,0.269,7.15368739533023e-126
"Naa15",7.16060644391547e-130,-0.767162369287255,0.247,0.256,2.02308613859944e-125
"Exoc6b",7.89185257155117e-130,-0.60141468787402,0.112,0.142,2.22968510704035e-125
"Sbf1",1.56185496123608e-128,-0.480221413143781,0.098,0.129,4.4127088219803e-124
"Dnm2",9.26834601879962e-128,-0.325061971420301,0.292,0.19,2.61858580069146e-123
"Wdfy3",1.04917273895789e-127,-0.273147036426145,0.174,0.108,2.96422773937773e-123
