"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","is.trascr.factor","is.surface.protein"
"Rif1.3",1.08680440964828e-120,-0.436840516606413,0.117,0.223,3.07054849857928e-116,"5","Rif1",FALSE,FALSE
"Zbtb20.4",1.09593484727073e-120,-0.436097469044766,0.726,0.767,3.09634472399401e-116,"5","Zbtb20",TRUE,FALSE
"Psmb3.4",1.40691838110425e-120,0.319099448247904,0.477,0.358,3.97496650213385e-116,"5","Psmb3",FALSE,FALSE
"Sppl2a.3",1.41495281740077e-120,-0.416786802300208,0.107,0.211,3.99766619500239e-116,"5","Sppl2a",FALSE,TRUE
"Medag.3",1.61079856997437e-120,0.337800818935269,0.226,0.135,4.55098919974858e-116,"5","Medag",FALSE,FALSE
"Atp6v0a1.3",1.6471578651791e-120,-0.325461531939118,0.033,0.117,4.65371511649051e-116,"5","Atp6v0a1",FALSE,FALSE
"Dlg1.3",1.84268660876508e-120,-0.364427937801967,0.056,0.149,5.20614247574399e-116,"5","Dlg1",FALSE,FALSE
"Eif4e.4",2.49251167630899e-120,0.340661761782128,0.453,0.348,7.04209323907579e-116,"5","Eif4e",FALSE,FALSE
"Slk.3",3.11658908591123e-120,-0.408024300573571,0.107,0.21,8.805299144425e-116,"5","Slk",FALSE,FALSE
"Fastk.3",3.67414578762892e-120,-0.308847816589436,0.1,0.206,1.0380564093788e-115,"5","Fastk",FALSE,FALSE
"Rbm6.3",5.79061198995742e-120,-0.399347263032026,0.179,0.294,1.63602160552267e-115,"5","Rbm6",FALSE,FALSE
"Bola2.4",6.1180978050981e-120,0.262882684967492,0.388,0.277,1.72854617287437e-115,"5","Bola2",FALSE,FALSE
"Nbeal1.4",8.56715169964454e-120,-0.414756412721332,0.11,0.215,2.42047736970057e-115,"5","Nbeal1",FALSE,FALSE
"Gabarapl2.2",2.03758317441823e-119,0.289835388077355,0.417,0.316,5.75678374268382e-115,"5","Gabarapl2",FALSE,FALSE
"1110038B12Rik.4",3.66494533105454e-119,0.301152590377286,0.318,0.22,1.03545700438284e-114,"5","1110038B12Rik",FALSE,FALSE
"Ankrd10.3",3.76576152248363e-119,-0.36275964891225,0.156,0.272,1.0639406029473e-114,"5","Ankrd10",FALSE,FALSE
"Thoc2.2",7.26826576046114e-119,-0.409247199683385,0.295,0.415,2.05350312530309e-114,"5","Thoc2",FALSE,FALSE
"Dbp.4",7.70804015457749e-119,-0.353930415503409,0.08,0.181,2.17775258487278e-114,"5","Dbp",TRUE,FALSE
"Tmcc1.3",1.5279764223573e-118,-0.396010740547954,0.072,0.168,4.31699178608608e-114,"5","Tmcc1",FALSE,FALSE
"Herc2.3",2.86500856095534e-118,-0.422054066985686,0.114,0.219,8.09450868726713e-114,"5","Herc2",FALSE,FALSE
"Neurl1a.4",3.28309835655327e-118,-0.303358314289306,0.029,0.11,9.27573778676994e-114,"5","Neurl1a",FALSE,FALSE
"Mamstr.4",4.13601953758199e-118,-0.43340782020624,0.052,0.142,1.16854959995304e-113,"5","Mamstr",FALSE,FALSE
"Psma2.4",4.86349422457495e-118,0.301649956938888,0.444,0.329,1.37408302326916e-113,"5","Psma2",FALSE,FALSE
"Ctage5.2",5.91572615415006e-118,-0.401731503702019,0.249,0.366,1.67137011033202e-113,"5","Ctage5",FALSE,FALSE
"Kdm2a.3",8.72728961645226e-118,-0.40883734922454,0.17,0.281,2.46572113533626e-113,"5","Kdm2a",FALSE,FALSE
"Otud4.2",1.64508825827785e-117,-0.398478641688989,0.105,0.207,4.64786785611241e-113,"5","Otud4",FALSE,FALSE
"Sobp.4",1.78317649165057e-117,-0.404866516596267,0.052,0.142,5.03800854186037e-113,"5","Sobp",FALSE,FALSE
"Cirbp.1",3.10645929480798e-117,0.346675581727609,0.303,0.209,8.77667944562098e-113,"5","Cirbp",FALSE,FALSE
"Brix1.4",3.53281145231759e-117,0.353908065200871,0.321,0.226,9.98125219623289e-113,"5","Brix1",FALSE,FALSE
"Tmem245.3",3.93369166246978e-117,-0.36823552019307,0.095,0.197,1.11138590539759e-112,"5","Tmem245",FALSE,FALSE
"Asb8.3",3.93942353802504e-117,-0.287401108536613,0.033,0.115,1.11300533219821e-112,"5","Asb8",FALSE,FALSE
"Gpd2.3",4.25412952302081e-117,-0.403738831397367,0.056,0.146,1.20191921413907e-112,"5","Gpd2",FALSE,FALSE
"Cggbp1.4",4.29648945819185e-117,0.312321828064189,0.312,0.218,1.21388716662294e-112,"5","Cggbp1",TRUE,FALSE
"Acyp2.3",6.14489513564269e-117,-0.456655947043579,0.065,0.157,1.73611722267313e-112,"5","Acyp2",FALSE,FALSE
"Usp25.3",7.3116036972772e-117,-0.384741906443409,0.085,0.183,2.06574739259173e-112,"5","Usp25",FALSE,FALSE
"Hprt.4",2.59503414486098e-116,0.331777181849379,0.351,0.249,7.33174996947572e-112,"5","Hprt",FALSE,FALSE
"Fry.4",3.11665900560354e-116,-0.369148985486456,0.065,0.158,8.80549668853169e-112,"5","Fry",FALSE,FALSE
"Sox4.4",3.549678750382e-116,0.320443807131652,0.337,0.234,1.00289073734543e-111,"5","Sox4",TRUE,FALSE
"Eif4a2.1",3.71817101218275e-116,0.266342554200541,0.632,0.54,1.05049485607199e-111,"5","Eif4a2",FALSE,FALSE
"Abhd2.2",4.04819726153801e-116,0.439265146856278,0.223,0.138,1.14373717230233e-111,"5","Abhd2",FALSE,FALSE
"Trak2.3",5.10680819936925e-116,-0.394067966842902,0.06,0.151,1.44282652056779e-111,"5","Trak2",FALSE,FALSE
"Osbpl6.2",5.136754501131e-116,-0.33983199532932,0.026,0.105,1.45128724920454e-111,"5","Osbpl6",FALSE,FALSE
"Sde2.3",5.9804582872633e-116,0.307909522098418,0.334,0.236,1.6896588799005e-111,"5","Sde2",FALSE,FALSE
"Arpc5.4",6.13134856057199e-116,0.302542931823688,0.311,0.217,1.7322899088184e-111,"5","Arpc5",FALSE,FALSE
"Hmgb2.3",6.64258830626629e-116,0.321197018249822,0.237,0.148,1.87673047416941e-111,"5","Hmgb2",FALSE,FALSE
"Huwe1.2",6.8484323269895e-116,-0.372906349641847,0.289,0.409,1.93488758534434e-111,"5","Huwe1",FALSE,FALSE
"Ide.2",8.20515524563465e-116,-0.331070664319163,0.079,0.176,2.31820251154916e-111,"5","Ide",FALSE,FALSE
"Nsmaf.3",2.03768847380579e-115,-0.332615156525597,0.052,0.14,5.75708124504349e-111,"5","Nsmaf",FALSE,FALSE
"Strap.4",2.14101544961145e-115,0.290722250934445,0.419,0.315,6.04901094978722e-111,"5","Strap",FALSE,FALSE
"Kmt2b.4",2.97168049741518e-115,-0.334057625505601,0.044,0.129,8.39588890934712e-111,"5","Kmt2b",FALSE,FALSE
"Tnks2.3",3.56666371532333e-115,-0.381866834390159,0.157,0.266,1.0076894994903e-110,"5","Tnks2",FALSE,FALSE
"Lmcd1.4",1.36699381187052e-114,-0.403024996675309,0.034,0.116,3.86216761667778e-110,"5","Lmcd1",FALSE,FALSE
"Chchd10.4",5.2157528986333e-114,-1.25260727008165,0.071,0.16,1.47360666645087e-109,"5","Chchd10",FALSE,FALSE
"Grina.4",7.90789987765895e-114,-0.317707345877067,0.149,0.264,2.23421895243498e-109,"5","Grina",FALSE,FALSE
"Zfp106.1",9.79740805758837e-114,-0.338128883999408,0.257,0.374,2.76806169851044e-109,"5","Zfp106",FALSE,FALSE
"Tmem106b.4",2.90255782884834e-113,-0.362203759432831,0.063,0.153,8.20059663384521e-109,"5","Tmem106b",FALSE,TRUE
"Ankrd32.3",3.40120800229765e-113,-0.343856175337394,0.032,0.112,9.60943296889156e-109,"5","Ankrd32",FALSE,FALSE
"Atxn2.3",3.63069745135636e-113,-0.395179282969207,0.138,0.243,1.02578095093171e-108,"5","Atxn2",FALSE,FALSE
"Bcl10.3",5.1742080507559e-113,0.322160737986518,0.289,0.198,1.46186900058006e-108,"5","Bcl10",FALSE,FALSE
"Zdhhc17.3",1.49757402449444e-112,-0.352980296786641,0.046,0.13,4.23109589140414e-108,"5","Zdhhc17",FALSE,FALSE
"Selm.2",1.72349898384566e-112,0.308780919468173,0.227,0.142,4.86940167905913e-108,"5","Selm",FALSE,FALSE
"Cdk2ap2.4",2.40075743223946e-112,0.314952050412663,0.296,0.204,6.78285997330615e-108,"5","Cdk2ap2",FALSE,FALSE
"Heyl.3",2.45491825603629e-112,0.273212424510062,0.22,0.132,6.93588054877934e-108,"5","Heyl",TRUE,FALSE
"Aamp.2",2.5710951133551e-112,0.294673716802734,0.39,0.294,7.26411502376216e-108,"5","Aamp",FALSE,FALSE
"Homer1.4",3.05996600684203e-112,-0.369422232848087,0.103,0.203,8.6453219591308e-108,"5","Homer1",FALSE,FALSE
"Cd302.2",3.35541855701263e-112,0.3305610308078,0.263,0.175,9.48006404912779e-108,"5","Cd302",FALSE,TRUE
"St13.4",5.02966441407899e-112,0.264395487917897,0.478,0.367,1.42103108690974e-107,"5","St13",FALSE,FALSE
"Arf6.4",5.7809108847004e-112,0.289069208088966,0.303,0.211,1.6332807522544e-107,"5","Arf6",FALSE,FALSE
"2700060E02Rik.2",7.22492357445953e-112,0.258967792214299,0.45,0.341,2.04125765749205e-107,"5","2700060E02Rik",FALSE,FALSE
"Trp53inp2.4",7.24033913906738e-112,-0.326874655023905,0.05,0.136,2.04561301696071e-107,"5","Trp53inp2",FALSE,FALSE
"Spty2d1.3",1.06238011139697e-111,0.288016577992705,0.238,0.151,3.00154252872985e-107,"5","Spty2d1",FALSE,FALSE
"Gyg.3",1.72438413067826e-111,-0.311985894064053,0.045,0.129,4.8719024844053e-107,"5","Gyg",FALSE,FALSE
"Coq10b.4",1.84804349878815e-111,0.302523282100654,0.343,0.248,5.22127729712616e-107,"5","Coq10b",FALSE,FALSE
"Emd.4",9.91153637111185e-111,0.313250392611443,0.317,0.224,2.80030637093023e-106,"5","Emd",FALSE,FALSE
"Gtpbp4.4",1.03745194471586e-110,0.351287610868448,0.388,0.291,2.93111297940573e-106,"5","Gtpbp4",FALSE,FALSE
"Wwtr1.2",1.28556362798108e-110,0.296633012839544,0.275,0.185,3.63210291813495e-106,"5","Wwtr1",FALSE,FALSE
"Clic1.2",1.74494100480545e-110,0.338981143061247,0.301,0.208,4.92998182087683e-106,"5","Clic1",FALSE,TRUE
"Gabpb2.3",3.12532032792385e-110,-0.395164809574645,0.077,0.169,8.82996752248325e-106,"5","Gabpb2",FALSE,FALSE
"Dazap2.1",3.89384178287612e-110,0.268345007141486,0.265,0.176,1.10012711891599e-105,"5","Dazap2",FALSE,FALSE
"Tom1l2.4",4.07531219529252e-110,-0.329443688772828,0.036,0.116,1.151397954536e-105,"5","Tom1l2",FALSE,FALSE
"Exoc4.3",1.33819527436754e-109,-0.36962594461654,0.1,0.197,3.7808031086706e-105,"5","Exoc4",FALSE,FALSE
"Helz.4",1.73559479849061e-109,-0.388617671905099,0.067,0.156,4.90357598417551e-105,"5","Helz",FALSE,FALSE
"Ssr2.4",2.00628966449342e-109,0.255555697894116,0.356,0.255,5.66837018909326e-105,"5","Ssr2",FALSE,TRUE
"Vps13a.3",2.34617733874642e-109,-0.360352357816391,0.052,0.137,6.62865483516026e-105,"5","Vps13a",FALSE,FALSE
"Ssr3.2",2.52248225307518e-109,0.275723718808841,0.352,0.257,7.12676910961331e-105,"5","Ssr3",FALSE,FALSE
"Gripap1.3",2.61894014078051e-109,-0.365983302351029,0.077,0.169,7.39929157974717e-105,"5","Gripap1",FALSE,FALSE
"Mon2.3",3.62464802433128e-109,-0.373817884662089,0.075,0.166,1.02407180631432e-104,"5","Mon2",FALSE,FALSE
"Hnrnpm.2",6.34302433026068e-109,-0.393485027168525,0.488,0.594,1.79209466402855e-104,"5","Hnrnpm",FALSE,FALSE
"Cap2.4",7.92813116243012e-109,-0.29946415809194,0.045,0.128,2.23993489732138e-104,"5","Cap2",FALSE,FALSE
"Abcc1.2",9.24331504277541e-109,-0.360256930521651,0.089,0.184,2.61151379903534e-104,"5","Abcc1",FALSE,TRUE
"Jsrp1.4",1.50022977819914e-108,-0.31151004146318,0.279,0.402,4.23859919234603e-104,"5","Jsrp1",FALSE,FALSE
"Cep85l.3",1.55869744171177e-108,-0.385010567234555,0.046,0.129,4.40378788206827e-104,"5","Cep85l",FALSE,FALSE
"Cyb5.2",1.97525924874481e-108,0.299430817023413,0.283,0.191,5.5806999554787e-104,"5","Cyb5",FALSE,FALSE
"Mllt10.3",3.76961082469505e-108,-0.392071669679719,0.117,0.217,1.06502814630109e-103,"5","Mllt10",FALSE,FALSE
"Bcl6.4",5.4325333489435e-108,-0.389655061035917,0.049,0.132,1.53485364707701e-103,"5","Bcl6",TRUE,FALSE
"Sar1a.4",5.87297869808708e-108,0.264592991837706,0.45,0.352,1.65929267157054e-103,"5","Sar1a",FALSE,FALSE
"Phc3.3",8.3210310808141e-108,-0.351788001644143,0.048,0.131,2.35094091126241e-103,"5","Phc3",FALSE,FALSE
"Smtn.4",9.24782003962744e-108,-0.309733144941778,0.062,0.15,2.61278659579594e-103,"5","Smtn",FALSE,FALSE
"B3galnt2.2",2.16674563392385e-107,-0.322819222329579,0.063,0.152,6.12170643952504e-103,"5","B3galnt2",FALSE,FALSE
"Fbxo31.2",2.46816196117705e-107,-0.267799647560629,0.048,0.133,6.97329798891351e-103,"5","Fbxo31",FALSE,FALSE
"Chchd3.2",3.87747033879334e-107,-0.385748672419095,0.194,0.301,1.09550169481928e-102,"5","Chchd3",TRUE,FALSE
"Samd4.2",2.08783972606846e-106,-0.340085697552552,0.154,0.263,5.89877357806121e-102,"5","Samd4",FALSE,FALSE
"Ankhd1.3",2.15906852508583e-106,-0.402909513963464,0.186,0.291,6.10001630392501e-102,"5","Ankhd1",FALSE,FALSE
"Smox.1",4.83939120785044e-106,-0.333746898200047,0.074,0.165,1.36727319795398e-101,"5","Smox",FALSE,FALSE
"Atxn7l3b.4",5.35246143385944e-106,0.279409454073173,0.368,0.273,1.51223092890831e-101,"5","Atxn7l3b",FALSE,FALSE
"Spry2.2",3.0914394199042e-105,0.337887489280032,0.205,0.125,8.73424379305534e-101,"5","Spry2",FALSE,FALSE
"Slbp.3",4.55430700814297e-105,0.311678222672184,0.272,0.185,1.28672835901063e-100,"5","Slbp",FALSE,FALSE
"Ano5.4",5.35757692850479e-105,-0.356501710109499,0.044,0.123,1.51367620961046e-100,"5","Ano5",FALSE,FALSE
"Nkiras1.1",7.34789013956817e-105,-0.263874385709143,0.06,0.147,2.07599940113219e-100,"5","Nkiras1",FALSE,FALSE
"Mtch2.1",7.42841537379342e-105,-0.319718279570272,0.284,0.398,2.09875019555786e-100,"5","Mtch2",FALSE,FALSE
"Tubb2b.3",1.02036739890955e-104,0.28797398160588,0.254,0.163,2.88284401213915e-100,"5","Tubb2b",FALSE,FALSE
"Cyr61.4",1.68704495552753e-104,0.389532035836865,0.32,0.218,4.76640811285194e-100,"5","Cyr61",FALSE,FALSE
"Zbed6.4",1.71331388659268e-104,-0.360972705557024,0.16,0.265,4.8406257237903e-100,"5","Zbed6",FALSE,FALSE
"Atpaf1.2",1.73940900819039e-104,-0.272629359155108,0.031,0.105,4.9143522708403e-100,"5","Atpaf1",FALSE,FALSE
"Nenf.2",2.21384311580556e-104,0.287804774059002,0.347,0.256,6.25477095508545e-100,"5","Nenf",FALSE,FALSE
"Bicd2.3",2.46068177066705e-104,-0.391969434007283,0.12,0.218,6.95216420666562e-100,"5","Bicd2",FALSE,FALSE
"Anapc5.4",2.63858420031522e-104,-0.348192813137205,0.274,0.394,7.4547919411506e-100,"5","Anapc5",FALSE,FALSE
"Ddit4.3",4.28618217930728e-104,0.339699089881579,0.21,0.13,1.21097505111969e-99,"5","Ddit4",FALSE,FALSE
"Pnp.2",4.50968156733677e-104,0.323162096271118,0.216,0.135,1.27412033321966e-99,"5","Pnp",FALSE,FALSE
"Mcm3ap.2",4.54857463125567e-104,-0.31022194341255,0.029,0.102,1.28510879056866e-99,"5","Mcm3ap",FALSE,FALSE
"Ube2d2a.4",4.66309291034759e-104,0.264257806626646,0.419,0.323,1.3174636399605e-99,"5","Ube2d2a",FALSE,FALSE
"Cd47.2",1.63930908985132e-103,0.299250195053343,0.29,0.201,4.63153997155692e-99,"5","Cd47",FALSE,TRUE
"Chic2.4",2.5428732389053e-103,0.288205514778449,0.405,0.308,7.18437976187915e-99,"5","Chic2",FALSE,FALSE
"Dennd1b.2",4.24758384821126e-103,-0.331372270840373,0.03,0.103,1.20006986463513e-98,"5","Dennd1b",FALSE,FALSE
"Gm26699",6.31005756405344e-103,0.268728618048547,0.201,0.122,1.78278056357202e-98,"5","Gm26699",FALSE,FALSE
"Aplp2.2",6.48250558753969e-103,0.293434020260641,0.321,0.232,1.83150230364759e-98,"5","Aplp2",FALSE,FALSE
"Ehmt1.2",7.35010456054097e-103,-0.335779751648848,0.09,0.183,2.07662504148964e-98,"5","Ehmt1",FALSE,FALSE
"Osbpl1a.4",9.42142325553612e-103,-0.314672222027891,0.042,0.122,2.66183471238662e-98,"5","Osbpl1a",FALSE,FALSE
"Mau2.3",1.16911232241423e-102,-0.383736273845373,0.094,0.185,3.30309304451691e-98,"5","Mau2",FALSE,FALSE
"Nfat5.4",1.19474179030361e-102,-0.421755582173542,0.3,0.409,3.3755039801448e-98,"5","Nfat5",TRUE,FALSE
"1810011O10Rik.2",1.61415105625951e-102,0.290983077814134,0.169,0.096,4.56046097925001e-98,"5","1810011O10Rik",FALSE,FALSE
"Cwf19l2.3",2.48531596737302e-102,-0.332452248054619,0.073,0.161,7.02176320261899e-98,"5","Cwf19l2",FALSE,FALSE
"Maged1.3",2.80188367625637e-102,0.288958796388465,0.291,0.201,7.91616195052712e-98,"5","Maged1",FALSE,FALSE
"Dpm3.2",3.63462570541165e-102,0.298129786672386,0.284,0.2,1.02689080054995e-97,"5","Dpm3",FALSE,FALSE
"Nfe2l1.1",4.1229044433614e-102,-0.339076592269488,0.198,0.307,1.1648441923829e-97,"5","Nfe2l1",TRUE,FALSE
"Asb5.4",5.21124234607036e-102,0.426890968295206,0.489,0.392,1.47233230003526e-97,"5","Asb5",FALSE,FALSE
"Plk2.4",7.2817183020995e-102,0.379406855379121,0.266,0.177,2.05730387189217e-97,"5","Plk2",FALSE,FALSE
"Pam.1",1.94397201680967e-101,0.341016696185043,0.231,0.151,5.49230413909235e-97,"5","Pam",FALSE,FALSE
"Ythdf2.4",1.30924707262823e-100,0.305478609499097,0.311,0.223,3.69901575429654e-96,"5","Ythdf2",FALSE,FALSE
"Ate1.2",2.17006057239652e-100,-0.31505361619419,0.079,0.168,6.13107213519189e-96,"5","Ate1",FALSE,FALSE
"Psma5.4",2.50723350278545e-100,0.2692029163851,0.404,0.304,7.08368681541973e-96,"5","Psma5",FALSE,FALSE
"Atp5e.4",4.20623657512518e-100,-0.347824471765377,0.636,0.469,1.18838801957012e-95,"5","Atp5e",FALSE,FALSE
"Nsa2.4",5.33919932500516e-100,0.266380668003337,0.403,0.31,1.50848398529371e-95,"5","Nsa2",FALSE,FALSE
"Lactb2.1",6.36457538423866e-100,-0.251103754692183,0.041,0.118,1.79818348330895e-95,"5","Lactb2",FALSE,FALSE
"Ago3.3",6.38017095879137e-100,-0.35651521555084,0.068,0.152,1.80258970098733e-95,"5","Ago3",FALSE,FALSE
"Gm26853.2",1.25607238235763e-99,-0.323670517835592,0.03,0.101,3.54878130187503e-95,"5","Gm26853",FALSE,FALSE
"Prpf40b.3",1.51568737799298e-99,-0.301756310384778,0.045,0.123,4.28227154904357e-95,"5","Prpf40b",FALSE,FALSE
"1700025G04Rik.4",1.62948678162029e-99,-0.337907133771136,0.066,0.15,4.60378900411181e-95,"5","1700025G04Rik",FALSE,FALSE
"Mif4gd.4",4.31728872275668e-99,-0.262755762528492,0.055,0.138,1.21976358284044e-94,"5","Mif4gd",FALSE,FALSE
"Tax1bp1.2",4.55593682059493e-99,0.305527566819929,0.455,0.365,1.28718882992268e-94,"5","Tax1bp1",FALSE,FALSE
"Hadha.1",9.15413044987824e-99,-0.309965301266663,0.155,0.258,2.5863164760041e-94,"5","Hadha",FALSE,FALSE
"Pde4d.1.4",1.05530355092311e-98,-0.345130511788323,0.066,0.149,2.98154912242307e-94,"5","Pde4d.1",FALSE,FALSE
"Dnajc3.3",1.09282597935422e-98,0.312500729450597,0.346,0.252,3.08756123946949e-94,"5","Dnajc3",FALSE,FALSE
"Irf2bpl.1",1.46214370188116e-98,0.343601073513413,0.257,0.176,4.13099460092484e-94,"5","Irf2bpl",TRUE,FALSE
"Eif2a",1.6711523034866e-98,0.256551506763381,0.372,0.28,4.7215066030407e-94,"5","Eif2a",FALSE,FALSE
"Pank4.1",1.8297969438308e-98,-0.278927040465596,0.03,0.102,5.16972530540515e-94,"5","Pank4",FALSE,FALSE
"Smc5.2",1.93075434875148e-98,-0.345979631449366,0.101,0.193,5.45496026152754e-94,"5","Smc5",FALSE,FALSE
"Bnip3.2",6.37560806393854e-98,-0.265445115735223,0.043,0.12,1.80130054630455e-93,"5","Bnip3",FALSE,FALSE
"Bcl7c.2",7.41196590497568e-98,0.273786738616391,0.305,0.22,2.09410272713278e-93,"5","Bcl7c",FALSE,FALSE
"Slc25a37.2",1.00552626336346e-97,-0.296900147629443,0.05,0.129,2.84091335188078e-93,"5","Slc25a37",FALSE,FALSE
"Ptpn12.4",1.81504350771859e-97,0.294311469368849,0.294,0.207,5.12804242235732e-93,"5","Ptpn12",FALSE,FALSE
"Mki67ip.4",1.99112856613242e-97,0.333561182673115,0.297,0.211,5.62553553789393e-93,"5","Mki67ip",FALSE,FALSE
"Rab1.3",2.56156358300956e-97,0.261255083658321,0.36,0.272,7.23718559107692e-93,"5","Rab1",FALSE,FALSE
"Fbxo3.4",2.57096501887742e-97,-0.320016255424865,0.102,0.194,7.26374746783437e-93,"5","Fbxo3",FALSE,FALSE
"Mef2a.3",4.59058620264332e-97,-0.333249703077659,0.171,0.272,1.29697831983282e-92,"5","Mef2a",TRUE,FALSE
"D930016D06Rik.3",9.93947484070045e-97,-0.34878775026425,0.051,0.129,2.8081998267431e-92,"5","D930016D06Rik",FALSE,FALSE
"BC005561.4",1.22390769542337e-96,-0.367794988341933,0.281,0.388,3.45790641187964e-92,"5","BC005561",FALSE,FALSE
"Trappc9.2",3.3696830446004e-96,-0.303264380913031,0.032,0.103,9.52036550590952e-92,"5","Trappc9",FALSE,FALSE
"Arpp21.2",7.16391023033278e-96,-0.383909930244641,0.032,0.102,2.02401955737592e-91,"5","Arpp21",FALSE,FALSE
"Ptprs.4",7.82933575661645e-96,-0.335381852134029,0.065,0.146,2.21202223131684e-91,"5","Ptprs",FALSE,TRUE
"Tmed7.4",9.21331438738247e-96,0.268441040072419,0.304,0.218,2.60303771386717e-91,"5","Tmed7",FALSE,FALSE
"Atp5sl.3",1.1574629964364e-95,-0.308498667113355,0.05,0.127,3.27018020383175e-91,"5","Atp5sl",FALSE,FALSE
"Rheb.4",1.82402182646802e-95,0.253629828572422,0.506,0.407,5.15340886632009e-91,"5","Rheb",FALSE,FALSE
"Trf.1",1.99694956903128e-95,0.250553135170562,0.114,0.057,5.64198161738406e-91,"5","Trf",FALSE,FALSE
"Prkca.4",2.27941953061628e-95,-0.327468338760015,0.039,0.112,6.44004399985019e-91,"5","Prkca",FALSE,FALSE
"Rab5a.4",2.55641263498234e-95,0.285702240466349,0.313,0.228,7.22263261761559e-91,"5","Rab5a",FALSE,FALSE
"Krtcap2.4",2.84773776500565e-95,0.263644865100942,0.369,0.28,8.04571350747046e-91,"5","Krtcap2",FALSE,FALSE
"Med13.4",4.97999726971389e-95,-0.367935887956726,0.165,0.263,1.40699862861226e-90,"5","Med13",FALSE,FALSE
"Irf2bp2.4",5.14796702633408e-95,-0.371605231446387,0.076,0.159,1.45445512395017e-90,"5","Irf2bp2",TRUE,FALSE
"Fcgrt.2",6.52440177113057e-95,0.279125746113427,0.222,0.144,1.84333923239752e-90,"5","Fcgrt",FALSE,TRUE
"Fosl2.3",6.87557140428685e-95,0.288749739532767,0.228,0.148,1.94255518885316e-90,"5","Fosl2",TRUE,FALSE
"ATF7.4",7.48368568366569e-95,-0.355659882118106,0.074,0.157,2.11436571620607e-90,"5","ATF7",FALSE,FALSE
"Srrm1.3",1.75971429994841e-94,-0.358756311540912,0.497,0.595,4.97172081164425e-90,"5","Srrm1",FALSE,FALSE
"Tmem11.4",2.92845274491995e-94,0.282431337597146,0.323,0.239,8.27375754022234e-90,"5","Tmem11",FALSE,FALSE
"Nudcd3.1",5.2796857025033e-94,-0.325214684593805,0.173,0.275,1.49166960152826e-89,"5","Nudcd3",FALSE,FALSE
"Dnajc8.4",5.36308799844646e-94,0.271333164615395,0.386,0.296,1.51523325220108e-89,"5","Dnajc8",FALSE,FALSE
"Cltb.3",5.75227435271477e-94,0.307301770154126,0.367,0.276,1.6251900728725e-89,"5","Cltb",FALSE,FALSE
"Fkbp2.3",7.05121709710687e-94,0.286629761000131,0.279,0.196,1.99218036644561e-89,"5","Fkbp2",FALSE,FALSE
"Pknox1",1.24931266649157e-93,0.262988029618807,0.231,0.151,3.52968307663862e-89,"5","Pknox1",TRUE,FALSE
"0610009D07Rik.4",2.08233913300923e-93,0.260141914425347,0.336,0.248,5.88323275249097e-89,"5","0610009D07Rik",FALSE,FALSE
"Map7d1.3",2.44671114983973e-93,-0.278523023279946,0.262,0.378,6.91269301164219e-89,"5","Map7d1",FALSE,FALSE
"Rsl24d1.4",2.53600467120825e-93,0.287473546214945,0.314,0.226,7.16497399756467e-89,"5","Rsl24d1",FALSE,FALSE
"2410004N09Rik.2",3.33286480773982e-93,0.252481608357509,0.231,0.153,9.41634294130731e-89,"5","2410004N09Rik",FALSE,FALSE
"Tppp3.3",4.73787448050067e-93,0.298617515592363,0.249,0.165,1.33859167697585e-88,"5","Tppp3",FALSE,FALSE
"Oser1.4",4.90237497836894e-93,0.299592036833088,0.283,0.2,1.38506800263858e-88,"5","Oser1",FALSE,FALSE
"Setd8.2",5.36284316019921e-93,-0.293452076984765,0.088,0.175,1.51516407805108e-88,"5","Setd8",FALSE,FALSE
"1110004F10Rik.4",5.3781011711362e-93,0.257244298889604,0.382,0.289,1.51947492388111e-88,"5","1110004F10Rik",FALSE,FALSE
"Mllt4.3",6.45292718565685e-93,-0.334295770271358,0.068,0.148,1.82314551776363e-88,"5","Mllt4",FALSE,FALSE
"Stip1.4",7.04053209392325e-93,0.278830929253058,0.356,0.262,1.98916153249614e-88,"5","Stip1",FALSE,FALSE
"Trio.3",7.30552776625915e-93,-0.360568408771937,0.092,0.178,2.0640307598012e-88,"5","Trio",FALSE,FALSE
"Zfhx4.4",1.12858171372134e-92,-0.377522797265109,0.132,0.225,3.18858191577691e-88,"5","Zfhx4",FALSE,FALSE
"1810037I17Rik.2",1.9901437496587e-92,0.30853449284964,0.313,0.23,5.62275313591073e-88,"5","1810037I17Rik",FALSE,FALSE
"Ergic3.2",2.32822213820753e-92,0.280879241686934,0.311,0.229,6.57792600707774e-88,"5","Ergic3",FALSE,FALSE
"Zfp91.1",2.8722509574992e-92,-0.311974642639314,0.216,0.322,8.11497063022248e-88,"5","Zfp91",FALSE,FALSE
"Ube4a.3",3.6519733320066e-92,-0.32172046857929,0.052,0.127,1.03179202549183e-87,"5","Ube4a",FALSE,FALSE
"Rela.3",3.66992771567974e-92,0.283562912336834,0.251,0.171,1.036864677511e-87,"5","Rela",TRUE,FALSE
"Slc12a2.3",9.64926632882588e-92,-0.30609069765297,0.04,0.111,2.72620721588318e-87,"5","Slc12a2",FALSE,TRUE
"Ano6.4",1.41709975776122e-91,-0.334094584112157,0.095,0.181,4.00373194560278e-87,"5","Ano6",FALSE,TRUE
