"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","is.trascr.factor","is.surface.protein"
"Eef1e1",1.57343469222873e-276,1.19962932019252,0.963,0.202,4.44542503595382e-272,"1","Eef1e1",FALSE,TRUE
"Srm",3.72206331828969e-276,1.28507764437544,0.98,0.215,1.05159454931639e-271,"1","Srm",FALSE,FALSE
"Ccdc137",4.51653572157147e-276,0.702260758830267,0.742,0.103,1.27605683741559e-271,"1","Ccdc137",FALSE,FALSE
"Phf10",7.95752809808182e-275,1.02840175366216,0.883,0.155,2.24824041355106e-270,"1","Phf10",FALSE,FALSE
"Imp4",1.29680767849265e-274,0.889592971149799,0.853,0.143,3.66387073404528e-270,"1","Imp4",FALSE,FALSE
"Ddx39",3.97520288159348e-274,1.0652369734728,0.946,0.18,1.12311407013661e-269,"1","Ddx39",FALSE,FALSE
"Pgam5",1.19477188081014e-273,0.668600795571701,0.749,0.107,3.37558899485288e-269,"1","Pgam5",FALSE,FALSE
"Ruvbl2",4.35373229973891e-273,0.917943792009163,0.873,0.153,1.23005998664523e-268,"1","Ruvbl2",FALSE,FALSE
"Dkc1",1.06823431687616e-272,1.23472707192723,0.977,0.207,3.01808241547021e-268,"1","Dkc1",FALSE,TRUE
"Pak1",2.65190663344921e-272,1.14516494826293,0.88,0.16,7.49243181148406e-268,"1","Pak1",FALSE,FALSE
"Mak16",1.47466247413135e-271,1.12593237794878,0.97,0.196,4.16636388816331e-267,"1","Mak16",FALSE,FALSE
"Atic",6.5993378110736e-270,1.01806082068459,0.913,0.17,1.86451091176262e-265,"1","Atic",FALSE,FALSE
"Adm",2.98412000188047e-269,0.970564131329956,0.492,0.049,8.4310342413129e-265,"1","Adm",FALSE,FALSE
"Gnpnat1",1.45332995950716e-267,0.730903786456867,0.776,0.119,4.10609313459559e-263,"1","Gnpnat1",FALSE,FALSE
"Tmem222",4.69457969134514e-265,0.815030819198882,0.873,0.152,1.32635960019574e-260,"1","Tmem222",FALSE,FALSE
"Aen",8.76491347102323e-265,1.02479875475579,0.967,0.192,2.47635100296819e-260,"1","Aen",FALSE,FALSE
"Rras2",3.15156613059542e-263,0.951320219253285,0.876,0.155,8.90411978877123e-259,"1","Rras2",FALSE,FALSE
"Noc3l",9.53655786499282e-263,0.750130328595423,0.86,0.141,2.69436369359642e-258,"1","Noc3l",FALSE,FALSE
"Rcc1",1.9377606166592e-262,0.735737632637975,0.702,0.1,5.47475507024725e-258,"1","Rcc1",FALSE,FALSE
"Agpat9",6.59570463581082e-262,0.377279661922284,0.405,0.033,1.86348443075563e-257,"1","Agpat9",FALSE,FALSE
"Bloc1s2",1.06389739026987e-258,0.812917920124523,0.86,0.15,3.00582929672947e-254,"1","Bloc1s2",FALSE,FALSE
"Nr2c2ap",3.88800350546052e-258,0.737663483453586,0.813,0.13,1.09847763039776e-253,"1","Nr2c2ap",FALSE,FALSE
"Gsto1",4.83539030469364e-258,1.15456267966598,0.943,0.194,1.36614282278509e-253,"1","Gsto1",FALSE,FALSE
"Tsr1",2.13923002971751e-256,0.862674265136355,0.883,0.158,6.04396660296088e-252,"1","Tsr1",FALSE,FALSE
"Eif4ebp1",8.07888239484996e-256,1.77388996693976,0.98,0.287,2.28252664301696e-251,"1","Eif4ebp1",FALSE,FALSE
