"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd47",0,0.515704141738346,0.909,0.863,0,"FAPs (Stem)","Cd47"
"Trio",0,0.515046125728551,0.413,0.281,0,"FAPs (Stem)","Trio"
"S100a6",0,0.5145522211561,0.999,0.996,0,"FAPs (Stem)","S100a6"
"Pdlim1",0,0.511271268397576,0.535,0.355,0,"FAPs (Stem)","Pdlim1"
"Rpl35",0,0.50934608792131,0.946,0.917,0,"FAPs (Stem)","Rpl35"
"Rbpj",0,0.507249980256637,0.517,0.377,0,"FAPs (Stem)","Rbpj"
"Nptn",0,0.506184435492351,0.716,0.633,0,"FAPs (Stem)","Nptn"
"Osr2",0,0.488559846871938,0.381,0.251,0,"FAPs (Stem)","Osr2"
"Bag1",0,0.488158123727717,0.704,0.603,0,"FAPs (Stem)","Bag1"
"Tppp3",0,0.486571081183513,0.821,0.703,0,"FAPs (Stem)","Tppp3"
"Pgf",0,0.485918360219821,0.244,0.104,0,"FAPs (Stem)","Pgf"
"Flnb",0,0.481387920318461,0.37,0.203,0,"FAPs (Stem)","Flnb"
"Rhou",0,0.478692227499445,0.274,0.115,0,"FAPs (Stem)","Rhou"
"Gda",0,0.478333749051174,0.306,0.133,0,"FAPs (Stem)","Gda"
"Sytl2",0,0.46985417973386,0.226,0.043,0,"FAPs (Stem)","Sytl2"
"Ntn1",0,0.465391529430326,0.462,0.283,0,"FAPs (Stem)","Ntn1"
"Ptgs1",0,0.460106347201658,0.223,0.081,0,"FAPs (Stem)","Ptgs1"
"Ehd1",0,0.460072468031537,0.559,0.44,0,"FAPs (Stem)","Ehd1"
"Rhoq",0,0.459749795425605,0.56,0.46,0,"FAPs (Stem)","Rhoq"
"Tns1",0,0.459011872807599,0.51,0.367,0,"FAPs (Stem)","Tns1"
"Adam33",0,0.457617464485366,0.398,0.26,0,"FAPs (Stem)","Adam33"
"Itgb7",0,0.4568135337865,0.119,0.01,0,"FAPs (Stem)","Itgb7"
"Arhgap20",0,0.450801707187106,0.46,0.288,0,"FAPs (Stem)","Arhgap20"
"Rorb",0,0.449749633254023,0.188,0.022,0,"FAPs (Stem)","Rorb"
"Fam167a",0,0.449420057042076,0.191,0.013,0,"FAPs (Stem)","Fam167a"
"Islr2",0,0.448868730651534,0.23,0.062,0,"FAPs (Stem)","Islr2"
"Trip10",0,0.446248288757707,0.528,0.395,0,"FAPs (Stem)","Trip10"
"Sirpa",0,0.444754022058294,0.443,0.315,0,"FAPs (Stem)","Sirpa"
"Rpl37a",0,0.443323678480682,0.996,0.993,0,"FAPs (Stem)","Rpl37a"
"Ptprj",0,0.437112262830314,0.271,0.096,0,"FAPs (Stem)","Ptprj"
"Nid1",0,0.427469233664645,0.92,0.882,0,"FAPs (Stem)","Nid1"
"Ftl1",0,0.427264634729417,0.989,0.988,0,"FAPs (Stem)","Ftl1"
"Rap1a",0,0.426896761758982,0.78,0.719,0,"FAPs (Stem)","Rap1a"
"Irak3",0,0.424519857946543,0.391,0.261,0,"FAPs (Stem)","Irak3"
"Rpl21",0,0.419317700771801,0.985,0.975,0,"FAPs (Stem)","Rpl21"
"Duox1",0,0.419149237818422,0.192,0.024,0,"FAPs (Stem)","Duox1"
"Anxa2",0,0.417561365883216,0.936,0.905,0,"FAPs (Stem)","Anxa2"
"Rap1b",0,0.413370035328926,0.804,0.755,0,"FAPs (Stem)","Rap1b"
"Slc4a4",0,0.410488134867367,0.261,0.118,0,"FAPs (Stem)","Slc4a4"
"Carhsp1",0,0.40848915181001,0.535,0.424,0,"FAPs (Stem)","Carhsp1"
"Rhoa",0,0.407306522024355,0.901,0.871,0,"FAPs (Stem)","Rhoa"
"Rps29",0,0.406713005729296,0.989,0.98,0,"FAPs (Stem)","Rps29"
"Fgf18",0,0.404190430987974,0.318,0.154,0,"FAPs (Stem)","Fgf18"
"Ildr2",0,0.403920484193092,0.194,0.054,0,"FAPs (Stem)","Ildr2"
"Chst1",0,0.401715022555904,0.176,0.025,0,"FAPs (Stem)","Chst1"
"Tubb4a",0,0.400238683554697,0.185,0.023,0,"FAPs (Stem)","Tubb4a"
"Mrpl33",0,0.3947157531818,0.804,0.737,0,"FAPs (Stem)","Mrpl33"
"Rps15",0,0.393673512114546,0.993,0.982,0,"FAPs (Stem)","Rps15"
"Stxbp6",0,0.391725002929315,0.32,0.131,0,"FAPs (Stem)","Stxbp6"
"Rpl35a",0,0.381825259124707,0.995,0.99,0,"FAPs (Stem)","Rpl35a"
"Sema3b",0,0.381521804865658,0.206,0.062,0,"FAPs (Stem)","Sema3b"
"Rps28",0,0.380956343517569,0.957,0.94,0,"FAPs (Stem)","Rps28"
"Cdon",0,0.379376137086081,0.383,0.247,0,"FAPs (Stem)","Cdon"
"Edn1",0,0.379017036961757,0.14,0.032,0,"FAPs (Stem)","Edn1"
"Prdm8",0,0.375354467873873,0.235,0.106,0,"FAPs (Stem)","Prdm8"
"Kcnk5",0,0.364838212665225,0.19,0.032,0,"FAPs (Stem)","Kcnk5"
"Pygl",0,0.363986767173634,0.28,0.162,0,"FAPs (Stem)","Pygl"
"Pdgfc",0,0.360367278725271,0.152,0.028,0,"FAPs (Stem)","Pdgfc"
"Rpl13",0,0.359705243179159,0.998,0.995,0,"FAPs (Stem)","Rpl13"
"Rps26",0,0.358216723374869,0.937,0.909,0,"FAPs (Stem)","Rps26"
"Rps3a1",0,0.355428875621407,0.992,0.981,0,"FAPs (Stem)","Rps3a1"
"Vldlr",0,0.352891067044292,0.35,0.213,0,"FAPs (Stem)","Vldlr"
"Plac9a",0,0.350030808221368,0.272,0.139,0,"FAPs (Stem)","Plac9a"
"Ackr2",0,0.348667483537112,0.158,0.012,0,"FAPs (Stem)","Ackr2"
"Adamtsl5",0,0.342878196977702,0.295,0.172,0,"FAPs (Stem)","Adamtsl5"
"Cd200",0,0.342004321848541,0.207,0.081,0,"FAPs (Stem)","Cd200"
"Rcan2",0,0.341189163511864,0.205,0.068,0,"FAPs (Stem)","Rcan2"
"Rps11",0,0.338970400381775,0.988,0.979,0,"FAPs (Stem)","Rps11"
"Clip4",0,0.336760927483775,0.211,0.07,0,"FAPs (Stem)","Clip4"
"Rps14",0,0.335704584732266,0.996,0.991,0,"FAPs (Stem)","Rps14"
"Rnase4",0,0.335647484124767,0.947,0.933,0,"FAPs (Stem)","Rnase4"
"Adora2b",0,0.333924068861877,0.201,0.092,0,"FAPs (Stem)","Adora2b"
"Ppp2r2b",0,0.333296214409356,0.178,0.035,0,"FAPs (Stem)","Ppp2r2b"
"Rpl37",0,0.330757263771948,0.991,0.983,0,"FAPs (Stem)","Rpl37"
"Rplp2",0,0.328030341184573,0.987,0.972,0,"FAPs (Stem)","Rplp2"
"Hs3st1",0,0.326266472308455,0.154,0.032,0,"FAPs (Stem)","Hs3st1"
"Sdk1",0,0.32371201540641,0.224,0.082,0,"FAPs (Stem)","Sdk1"
"Rps25",0,0.322044952801574,0.982,0.969,0,"FAPs (Stem)","Rps25"
"Gpr1",0,0.31554987270972,0.128,0.003,0,"FAPs (Stem)","Gpr1"
