"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Stap1.1",0,-0.461912981009513,0.133,0.215,0,"Monocyte (Inflammatory)","Stap1"
"Psmb8",0,-0.469547783738974,0.86,0.802,0,"Monocyte (Inflammatory)","Psmb8"
"Ifngr1",0,-0.480416534181416,0.637,0.635,0,"Monocyte (Inflammatory)","Ifngr1"
"Serinc3.1",0,-0.484261062962406,0.816,0.805,0,"Monocyte (Inflammatory)","Serinc3"
"Hspa8",0,-0.48441407047093,0.992,0.984,0,"Monocyte (Inflammatory)","Hspa8"
"Psme1",0,-0.491813449307968,0.803,0.755,0,"Monocyte (Inflammatory)","Psme1"
"Cybb.1",0,-0.492670846149059,0.825,0.792,0,"Monocyte (Inflammatory)","Cybb"
"Stat3",0,-0.50083816819892,0.569,0.568,0,"Monocyte (Inflammatory)","Stat3"
"Rps11",0,-0.502347787919655,0.996,0.984,0,"Monocyte (Inflammatory)","Rps11"
"Junb",0,-0.503874371065574,0.933,0.923,0,"Monocyte (Inflammatory)","Junb"
"Herpud1",0,-0.504493124864979,0.272,0.366,0,"Monocyte (Inflammatory)","Herpud1"
"Olfm1",0,-0.507616642616062,0.138,0.254,0,"Monocyte (Inflammatory)","Olfm1"
"Ccnl1",0,-0.508238315205559,0.727,0.716,0,"Monocyte (Inflammatory)","Ccnl1"
"Nfkb1.1",0,-0.512403392062236,0.439,0.472,0,"Monocyte (Inflammatory)","Nfkb1"
"Avpi1",0,-0.514282687325406,0.143,0.24,0,"Monocyte (Inflammatory)","Avpi1"
"Ier5",0,-0.51691755567103,0.807,0.785,0,"Monocyte (Inflammatory)","Ier5"
"Tap1",0,-0.519748951559839,0.417,0.462,0,"Monocyte (Inflammatory)","Tap1"
"Pld4",0,-0.522862124510415,0.758,0.782,0,"Monocyte (Inflammatory)","Pld4"
"Tnip3.1",0,-0.525899374376152,0.061,0.146,0,"Monocyte (Inflammatory)","Tnip3"
"Ifi47",0,-0.527053329816622,0.173,0.261,0,"Monocyte (Inflammatory)","Ifi47"
"Stk17b.1",0,-0.530245075043221,0.396,0.448,0,"Monocyte (Inflammatory)","Stk17b"
"KCTD12",0,-0.534189560234723,0.584,0.622,0,"Monocyte (Inflammatory)","KCTD12"
"Cd86",0,-0.539429539366475,0.388,0.495,0,"Monocyte (Inflammatory)","Cd86"
"Irf1",0,-0.542323195516311,0.254,0.327,0,"Monocyte (Inflammatory)","Irf1"
"Ctsc",0,-0.544651281033709,0.899,0.874,0,"Monocyte (Inflammatory)","Ctsc"
"Rpl18a",0,-0.548827491753725,0.996,0.988,0,"Monocyte (Inflammatory)","Rpl18a"
"Tnfsf9.1",0,-0.553812728531715,0.082,0.184,0,"Monocyte (Inflammatory)","Tnfsf9"
"Rnase6",0,-0.554626885739512,0.058,0.208,0,"Monocyte (Inflammatory)","Rnase6"
"Zfp36l2.1",0,-0.560961185008714,0.776,0.732,0,"Monocyte (Inflammatory)","Zfp36l2"
"Clec4a3.1",0,-0.565518933411451,0.566,0.631,0,"Monocyte (Inflammatory)","Clec4a3"
"H2afz",0,-0.57135606369029,0.969,0.936,0,"Monocyte (Inflammatory)","H2afz"
"Tgfbi.1",0,-0.575210001540774,0.852,0.837,0,"Monocyte (Inflammatory)","Tgfbi"
"Gm20645",0,-0.58410258251676,0.286,0.36,0,"Monocyte (Inflammatory)","Gm20645"
"Ppp1r15a",0,-0.590038759732009,0.606,0.619,0,"Monocyte (Inflammatory)","Ppp1r15a"
"Sp100.1",0,-0.590781424299051,0.462,0.516,0,"Monocyte (Inflammatory)","Sp100"
"Ptprc.1",0,-0.595344376870933,0.766,0.765,0,"Monocyte (Inflammatory)","Ptprc"
"Jarid2.1",0,-0.598711806123279,0.288,0.402,0,"Monocyte (Inflammatory)","Jarid2"
"Pmaip1",0,-0.60495938373532,0.124,0.254,0,"Monocyte (Inflammatory)","Pmaip1"
"Cst3.1",0,-0.60603358700022,0.998,0.99,0,"Monocyte (Inflammatory)","Cst3"
"Sub1.1",0,-0.606687403460791,0.921,0.876,0,"Monocyte (Inflammatory)","Sub1"
"Traf1.1",0,-0.608816176819121,0.073,0.213,0,"Monocyte (Inflammatory)","Traf1"
"Gm2a",0,-0.61053946772268,0.81,0.786,0,"Monocyte (Inflammatory)","Gm2a"
"Samsn1.1",0,-0.617744846076931,0.214,0.293,0,"Monocyte (Inflammatory)","Samsn1"
"Zbp1.1",0,-0.619174411140938,0.404,0.446,0,"Monocyte (Inflammatory)","Zbp1"
"Gmfg.1",0,-0.622117641435991,0.648,0.721,0,"Monocyte (Inflammatory)","Gmfg"
"Slfn2.1",0,-0.624864868309919,0.784,0.764,0,"Monocyte (Inflammatory)","Slfn2"
"H2-Q7",0,-0.63940519590731,0.291,0.395,0,"Monocyte (Inflammatory)","H2-Q7"
"Phf11b",0,-0.641718749256415,0.263,0.365,0,"Monocyte (Inflammatory)","Phf11b"
"Btg1.1",0,-0.643947352656863,0.905,0.886,0,"Monocyte (Inflammatory)","Btg1"
"Ighm",0,-0.647213804813369,0.12,0.321,0,"Monocyte (Inflammatory)","Ighm"
"1500012F01Rik",0,-0.648969867509531,0.388,0.467,0,"Monocyte (Inflammatory)","1500012F01Rik"
"Emb.1",0,-0.651068454308704,0.406,0.48,0,"Monocyte (Inflammatory)","Emb"
"Dusp2",0,-0.654359600125503,0.25,0.348,0,"Monocyte (Inflammatory)","Dusp2"
"Gas5.1",0,-0.656082763140337,0.72,0.717,0,"Monocyte (Inflammatory)","Gas5"
"Rel",0,-0.662329125293835,0.35,0.414,0,"Monocyte (Inflammatory)","Rel"
"Sirpb1c.1",0,-0.663981538134078,0.377,0.43,0,"Monocyte (Inflammatory)","Sirpb1c"
"Pyhin1.1",0,-0.6713265740477,0.241,0.365,0,"Monocyte (Inflammatory)","Pyhin1"
"Gpr132.1",0,-0.674623947810774,0.155,0.339,0,"Monocyte (Inflammatory)","Gpr132"
"Jund",0,-0.677631956668349,0.883,0.869,0,"Monocyte (Inflammatory)","Jund"
"Clec4a1.1",0,-0.684880217044872,0.383,0.544,0,"Monocyte (Inflammatory)","Clec4a1"
"Nr4a1",0,-0.689464168420028,0.474,0.527,0,"Monocyte (Inflammatory)","Nr4a1"
"Zfp36",0,-0.692709097140305,0.794,0.804,0,"Monocyte (Inflammatory)","Zfp36"
"Rps9",0,-0.696719757214976,0.995,0.984,0,"Monocyte (Inflammatory)","Rps9"
"Etv3",0,-0.710163708152823,0.341,0.4,0,"Monocyte (Inflammatory)","Etv3"
"Mndal",0,-0.715295812313339,0.428,0.52,0,"Monocyte (Inflammatory)","Mndal"
"Cd83",0,-0.721736439360976,0.577,0.607,0,"Monocyte (Inflammatory)","Cd83"
"Nfkbia.1",0,-0.730477308930384,0.772,0.768,0,"Monocyte (Inflammatory)","Nfkbia"
"Hsp90aa1",0,-0.736140960962448,0.895,0.861,0,"Monocyte (Inflammatory)","Hsp90aa1"
"Clec4b1",0,-0.736616187965595,0.094,0.26,0,"Monocyte (Inflammatory)","Clec4b1"
"Coro1a.1",0,-0.738971963437464,0.885,0.862,0,"Monocyte (Inflammatory)","Coro1a"
"Clec10a.1",0,-0.739299717898952,0.167,0.255,0,"Monocyte (Inflammatory)","Clec10a"
"Ier2",0,-0.755736506219756,0.477,0.565,0,"Monocyte (Inflammatory)","Ier2"
"Socs3.1",0,-0.763398747286894,0.432,0.504,0,"Monocyte (Inflammatory)","Socs3"
"Clec4a2.1",0,-0.767350545001745,0.495,0.628,0,"Monocyte (Inflammatory)","Clec4a2"
"Nfkbiz.1",0,-0.7695712738433,0.32,0.431,0,"Monocyte (Inflammatory)","Nfkbiz"
"Epsti1",0,-0.76978117095527,0.542,0.618,0,"Monocyte (Inflammatory)","Epsti1"
"Vcan.1",0,-0.782713399339065,0.063,0.142,0,"Monocyte (Inflammatory)","Vcan"
"Ifi27l2a.1",0,-0.785567419339089,0.871,0.876,0,"Monocyte (Inflammatory)","Ifi27l2a"
"Samhd1.1",0,-0.788371304878414,0.659,0.69,0,"Monocyte (Inflammatory)","Samhd1"
"Ifi203.1",0,-0.793180675134295,0.391,0.51,0,"Monocyte (Inflammatory)","Ifi203"
"Irf7.1",0,-0.820331076080103,0.522,0.562,0,"Monocyte (Inflammatory)","Irf7"
"2410006H16Rik.1",0,-0.820714798688531,0.467,0.575,0,"Monocyte (Inflammatory)","2410006H16Rik"
"Kdm6b.1",0,-0.852128510670231,0.505,0.601,0,"Monocyte (Inflammatory)","Kdm6b"
"Naaa",0,-0.853872391910134,0.198,0.36,0,"Monocyte (Inflammatory)","Naaa"
"Ccl9.1",0,-0.8548062140016,0.642,0.735,0,"Monocyte (Inflammatory)","Ccl9"
"Ccl6.1",0,-0.857092340072012,0.727,0.74,0,"Monocyte (Inflammatory)","Ccl6"
"Srgn.1",0,-0.880466763203464,0.906,0.901,0,"Monocyte (Inflammatory)","Srgn"
"Ifitm6.1",0,-0.890626239420649,0.035,0.208,0,"Monocyte (Inflammatory)","Ifitm6"
"mt-Rnr2",0,-0.941724479295942,0.917,0.941,0,"Monocyte (Inflammatory)","mt-Rnr2"
"Ly6e.1",0,-0.949520227802231,0.85,0.87,0,"Monocyte (Inflammatory)","Ly6e"
"Cd52.1",0,-0.957439217531985,0.925,0.928,0,"Monocyte (Inflammatory)","Cd52"
"Btg2",0,-0.997201975005389,0.544,0.68,0,"Monocyte (Inflammatory)","Btg2"
"Napsa.1",0,-1.02089751205924,0.378,0.491,0,"Monocyte (Inflammatory)","Napsa"
"Cytip.1",0,-1.04401349217679,0.315,0.465,0,"Monocyte (Inflammatory)","Cytip"
"Isg15.1",0,-1.063785114626,0.406,0.475,0,"Monocyte (Inflammatory)","Isg15"
"Ifitm2.1",0,-1.07501033073144,0.888,0.889,0,"Monocyte (Inflammatory)","Ifitm2"
"Marcksl1.1",0,-1.10810077120297,0.328,0.531,0,"Monocyte (Inflammatory)","Marcksl1"
"Tmem176a.1",0,-1.12791800862757,0.273,0.522,0,"Monocyte (Inflammatory)","Tmem176a"
"Ifitm3.1",0,-1.15315696129259,0.928,0.936,0,"Monocyte (Inflammatory)","Ifitm3"
"Cxcl10",0,-1.17347985526159,0.09,0.173,0,"Monocyte (Inflammatory)","Cxcl10"
"Tmem176b.1",0,-1.2337665279178,0.348,0.62,0,"Monocyte (Inflammatory)","Tmem176b"
"Plbd1.1",0,-1.24639252332987,0.298,0.56,0,"Monocyte (Inflammatory)","Plbd1"
"H2-DMa",0,-1.25794318059994,0.589,0.725,0,"Monocyte (Inflammatory)","H2-DMa"
"Ly6a.1",0,-1.26497823814524,0.174,0.309,0,"Monocyte (Inflammatory)","Ly6a"
"Lsp1.1",0,-1.32048027747407,0.545,0.655,0,"Monocyte (Inflammatory)","Lsp1"
"Hspa1a.1",0,-1.32140173990991,0.463,0.558,0,"Monocyte (Inflammatory)","Hspa1a"
"H2-DMb1",0,-1.33835390370737,0.474,0.62,0,"Monocyte (Inflammatory)","H2-DMb1"
"Hspa1b.1",0,-1.34831662690582,0.242,0.374,0,"Monocyte (Inflammatory)","Hspa1b"
"Ms4a4c.1",0,-1.3793540875409,0.398,0.591,0,"Monocyte (Inflammatory)","Ms4a4c"
"Ccr2.1",0,-1.6190637915038,0.248,0.599,0,"Monocyte (Inflammatory)","Ccr2"
"Il1b.1",0,-1.96575166108714,0.284,0.489,0,"Monocyte (Inflammatory)","Il1b"
"Cd74.1",0,-2.27292531010091,0.664,0.838,0,"Monocyte (Inflammatory)","Cd74"
"H2-Aa.1",0,-2.29996300927035,0.483,0.71,0,"Monocyte (Inflammatory)","H2-Aa"
"H2-Ab1.1",0,-2.36534400377597,0.515,0.723,0,"Monocyte (Inflammatory)","H2-Ab1"
"H2-Eb1.1",0,-2.46589536093192,0.415,0.67,0,"Monocyte (Inflammatory)","H2-Eb1"
"Plac8.1",0,-2.65758219503199,0.15,0.438,0,"Monocyte (Inflammatory)","Plac8"
"Gltscr2",1.76298313194644e-306,-0.418965272812927,0.61,0.593,4.98095624268827e-302,"Monocyte (Inflammatory)","Gltscr2"
"Fcgr2b",2.93429961543479e-305,-0.403401774107956,0.668,0.655,8.29027670348791e-301,"Monocyte (Inflammatory)","Fcgr2b"
"Grasp",7.2103528166612e-303,-0.40642610177705,0.066,0.135,2.03714098129129e-298,"Monocyte (Inflammatory)","Grasp"
"Nr4a3",3.95698910039517e-302,-0.603761586099233,0.181,0.258,1.11796813053465e-297,"Monocyte (Inflammatory)","Nr4a3"
"Mnda.1",1.69932124195532e-301,-0.507803753451078,0.287,0.357,4.80109230489636e-297,"Monocyte (Inflammatory)","Mnda"
"Syngr2.1",1.63711936675146e-299,-0.561096114241627,0.679,0.629,4.6253533468829e-295,"Monocyte (Inflammatory)","Syngr2"
"Psmb9",3.2075935919395e-299,-0.488948262609663,0.544,0.541,9.06241417530666e-295,"Monocyte (Inflammatory)","Psmb9"
"Arhgdib.1",2.91441334154389e-298,-0.288314254621743,0.911,0.847,8.23409201386396e-294,"Monocyte (Inflammatory)","Arhgdib"
"Rab11fip1.1",4.82799161805825e-298,-0.33826533240248,0.109,0.185,1.36405247185e-293,"Monocyte (Inflammatory)","Rab11fip1"
"Pde4b.1",7.17960456323121e-298,-0.460576393980026,0.276,0.346,2.02845367724971e-293,"Monocyte (Inflammatory)","Pde4b"
"Hp.1",2.69957464807054e-297,-0.718735594336038,0.081,0.15,7.62710825319369e-293,"Monocyte (Inflammatory)","Hp"
"Hcls1",4.14498708362427e-294,-0.346525011512464,0.681,0.643,1.17108320073636e-289,"Monocyte (Inflammatory)","Hcls1"
"Fos",3.19990204508541e-293,-0.546395197653804,0.853,0.83,9.04068324797981e-289,"Monocyte (Inflammatory)","Fos"
"Nfkbid",2.79326838969262e-290,-0.431186686649249,0.207,0.283,7.89182118139857e-286,"Monocyte (Inflammatory)","Nfkbid"
"Cdk2ap2.1",2.07359684667157e-289,-0.474130179436103,0.531,0.539,5.85853317090118e-285,"Monocyte (Inflammatory)","Cdk2ap2"
"Dmkn.1",4.70614615321843e-289,-0.442371543683245,0.051,0.115,1.3296274726688e-284,"Monocyte (Inflammatory)","Dmkn"
"Fxyd5.1",1.25879463129943e-287,-0.369912538206676,0.947,0.887,3.55647247181027e-283,"Monocyte (Inflammatory)","Fxyd5"
"Mgl2.1",5.05502904597692e-286,-0.573835388947489,0.055,0.124,1.42819735635986e-281,"Monocyte (Inflammatory)","Mgl2"
"Neat1.1",1.11505116965987e-277,-0.592576555032692,0.832,0.809,3.15035406964003e-273,"Monocyte (Inflammatory)","Neat1"
"Arl5c.1",7.74160517349941e-275,-0.601021138850694,0.284,0.343,2.18723570966879e-270,"Monocyte (Inflammatory)","Arl5c"
"Parp14",1.02268301720206e-274,-0.536062447583749,0.331,0.382,2.88938632850098e-270,"Monocyte (Inflammatory)","Parp14"
"Mx1",3.05973184024035e-273,-0.402541421695979,0.092,0.161,8.64466036823107e-269,"Monocyte (Inflammatory)","Mx1"
"Trim30a",2.85372585524927e-271,-0.478781825781027,0.467,0.488,8.06263165883577e-267,"Monocyte (Inflammatory)","Trim30a"
"H2afy",9.68102790981552e-270,-0.464133789123917,0.752,0.682,2.73518081536018e-265,"Monocyte (Inflammatory)","H2afy"
"AW112010.1",9.92333371661997e-269,-0.815257912361997,0.316,0.374,2.80363947495664e-264,"Monocyte (Inflammatory)","AW112010"
"Trps1.1",1.01303681594482e-262,-0.452095550052679,0.422,0.453,2.86213291608889e-258,"Monocyte (Inflammatory)","Trps1"
"Rassf4",1.42707755510276e-260,-0.370670702033999,0.454,0.491,4.03192221643182e-256,"Monocyte (Inflammatory)","Rassf4"
"Dusp5.1",3.240213379128e-256,-0.537782450614708,0.339,0.389,9.15457486005032e-252,"Monocyte (Inflammatory)","Dusp5"
"Filip1l.1",3.82006814552954e-256,-0.320252216425273,0.15,0.224,1.07928385315646e-251,"Monocyte (Inflammatory)","Filip1l"
"Eif3e",4.17833837196759e-255,-0.331155229811327,0.753,0.69,1.180505940232e-250,"Monocyte (Inflammatory)","Eif3e"
"Map3k14",4.30788560248363e-253,-0.288031191449966,0.079,0.143,1.2171069192697e-248,"Monocyte (Inflammatory)","Map3k14"
"Rbpj.1",4.11726948103735e-249,-0.425018654938054,0.463,0.488,1.16325214647748e-244,"Monocyte (Inflammatory)","Rbpj"
"Fgl2",3.11998027991362e-246,-0.541889387776036,0.309,0.36,8.81488028483996e-242,"Monocyte (Inflammatory)","Fgl2"
"Lbr",2.58306929006077e-245,-0.258977532399262,0.112,0.18,7.29794566520869e-241,"Monocyte (Inflammatory)","Lbr"
"Capza2.1",6.73418713561353e-245,-0.253178338770325,0.928,0.86,1.90260989142489e-240,"Monocyte (Inflammatory)","Capza2"
"Gm4955",1.15629622109613e-239,-0.283851378388648,0.091,0.156,3.26688371346288e-235,"Monocyte (Inflammatory)","Gm4955"
"Egr1.1",4.57560729380049e-238,-0.749262699736447,0.265,0.33,1.29274632871745e-233,"Monocyte (Inflammatory)","Egr1"
"Slamf9.1",5.50175934666494e-237,-0.540743390258623,0.293,0.347,1.55441206821324e-232,"Monocyte (Inflammatory)","Slamf9"
"mt-Rnr1",5.67597599510456e-237,-0.691438615400622,0.726,0.737,1.60363349789689e-232,"Monocyte (Inflammatory)","mt-Rnr1"
"Txnip.1",9.66764212687963e-237,-0.450231643461867,0.343,0.406,2.7313989301073e-232,"Monocyte (Inflammatory)","Txnip"
"Gda.1",1.44799270783501e-236,-0.602332726340629,0.27,0.323,4.09101379744626e-232,"Monocyte (Inflammatory)","Gda"
"Arhgap15",7.58734380923575e-233,-0.345296710745237,0.248,0.307,2.14365224642338e-228,"Monocyte (Inflammatory)","Arhgap15"
"Ccnd3",6.23021899312243e-232,-0.367197793378789,0.209,0.269,1.76022377212688e-227,"Monocyte (Inflammatory)","Ccnd3"
"Pim1.1",3.08513914330795e-231,-0.433866805884345,0.668,0.636,8.71644362158796e-227,"Monocyte (Inflammatory)","Pim1"
"Dnaja1",6.4829806969657e-230,-0.596733990415499,0.806,0.743,1.83163653631372e-225,"Monocyte (Inflammatory)","Dnaja1"
"H2-T23",3.6774289626152e-229,-0.398052684593816,0.653,0.636,1.03898400480767e-224,"Monocyte (Inflammatory)","H2-T23"
"Gbp2",1.31994713701471e-228,-0.437335725293931,0.112,0.176,3.72924664620766e-224,"Monocyte (Inflammatory)","Gbp2"
"Itga4",1.15539213058756e-225,-0.443023152101294,0.338,0.383,3.26432938654904e-221,"Monocyte (Inflammatory)","Itga4"
"Gm9846",2.01084328313677e-224,-0.612110105346711,0.603,0.58,5.6812355278463e-220,"Monocyte (Inflammatory)","Gm9846"
"C3.1",4.73202614437828e-224,-0.406923084554542,0.147,0.212,1.33693934657119e-219,"Monocyte (Inflammatory)","C3"
"Ly6c2.1",1.19256344036442e-223,-1.12862498198727,0.292,0.345,3.3693494880616e-219,"Monocyte (Inflammatory)","Ly6c2"
"Rrad",5.76520406104727e-222,-0.384148044112164,0.124,0.188,1.62884310336768e-217,"Monocyte (Inflammatory)","Rrad"
"Nr4a2.1",6.26313953583774e-221,-0.65639955989327,0.351,0.394,1.76952481306024e-216,"Monocyte (Inflammatory)","Nr4a2"
"Ahr",2.55875528006284e-219,-0.320200531474792,0.136,0.201,7.22925129276154e-215,"Monocyte (Inflammatory)","Ahr"
"H2-Q4",1.24234442341977e-216,-0.321569397812542,0.214,0.278,3.50999569948787e-212,"Monocyte (Inflammatory)","H2-Q4"
"Hmgb2",2.43163904381857e-215,-0.415632424813912,0.501,0.506,6.87010979050059e-211,"Monocyte (Inflammatory)","Hmgb2"
"Ifi204.1",1.08723920276813e-214,-0.600927900524245,0.602,0.567,3.0717769195808e-210,"Monocyte (Inflammatory)","Ifi204"
"Gbp7",4.90722495896867e-214,-0.284178163153517,0.118,0.182,1.38643826765742e-209,"Monocyte (Inflammatory)","Gbp7"
"Vasp",5.7696675107212e-213,-0.391479842708145,0.555,0.534,1.63010416180406e-208,"Monocyte (Inflammatory)","Vasp"
"Crip1.1",9.94267370938626e-213,-0.515984252060993,0.947,0.904,2.8091036031129e-208,"Monocyte (Inflammatory)","Crip1"
"Klf2.1",1.32724726992963e-205,-0.548206276921439,0.544,0.565,3.74987171173218e-201,"Monocyte (Inflammatory)","Klf2"
"Cysltr1",2.1882011789872e-205,-0.269233727687402,0.171,0.234,6.18232479099254e-201,"Monocyte (Inflammatory)","Cysltr1"
"Dusp1",6.40611790735742e-205,-0.49680646704729,0.811,0.784,1.80992049236569e-200,"Monocyte (Inflammatory)","Dusp1"
"Bcl2a1d.1",1.37078719611994e-204,-0.604316037368044,0.19,0.248,3.87288506519767e-200,"Monocyte (Inflammatory)","Bcl2a1d"
"Rpl4",1.60770364381096e-204,-0.280832343183989,0.97,0.924,4.54224510485911e-200,"Monocyte (Inflammatory)","Rpl4"
"Clec4e.1",2.27093286999516e-204,-0.872370964278854,0.217,0.279,6.41606663759731e-200,"Monocyte (Inflammatory)","Clec4e"
"Stat2",3.88049345668734e-204,-0.353212046276278,0.174,0.233,1.09635581631787e-199,"Monocyte (Inflammatory)","Stat2"
"Phf11d",9.0581105709508e-201,-0.365341363093675,0.172,0.231,2.55918797961073e-196,"Monocyte (Inflammatory)","Phf11d"
"Hsp90ab1",1.01344196820487e-200,-0.34437151187402,0.978,0.95,2.86327759276921e-196,"Monocyte (Inflammatory)","Hsp90ab1"
"Sp140",2.39791709843625e-200,-0.379292492706892,0.323,0.361,6.77483517821193e-196,"Monocyte (Inflammatory)","Sp140"
"Alox5ap.1",1.29332941682606e-198,-0.250869322827415,0.923,0.867,3.65404360135865e-194,"Monocyte (Inflammatory)","Alox5ap"
"Eif3h",7.88353016479526e-197,-0.250089948393525,0.867,0.79,2.22733377745961e-192,"Monocyte (Inflammatory)","Eif3h"
"Bcl3.1",1.54211461301159e-194,-0.327531919591911,0.225,0.277,4.35693641614165e-190,"Monocyte (Inflammatory)","Bcl3"
"Ccnd1.1",2.30359065765641e-194,-0.49779649232308,0.175,0.232,6.50833468507665e-190,"Monocyte (Inflammatory)","Ccnd1"
"Spag9.1",2.64390260306218e-192,-0.444906717897649,0.695,0.646,7.46981802443158e-188,"Monocyte (Inflammatory)","Spag9"
"Bcl2a1a",6.17975030684054e-192,-0.28631503932937,0.059,0.11,1.74596485419166e-187,"Monocyte (Inflammatory)","Bcl2a1a"
"Clec2d",3.81100967437679e-191,-0.356986549423588,0.226,0.282,1.07672456330168e-186,"Monocyte (Inflammatory)","Clec2d"
"Mycbp2",3.39964486418199e-190,-0.415547422312176,0.445,0.456,9.60501663477339e-186,"Monocyte (Inflammatory)","Mycbp2"
"Camk1d",2.68717117188759e-189,-0.317214759490198,0.269,0.318,7.59206471193401e-185,"Monocyte (Inflammatory)","Camk1d"
"Itgb7.1",4.55801597482873e-189,-0.47962517611738,0.208,0.259,1.28777625336836e-184,"Monocyte (Inflammatory)","Itgb7"
"Dleu2",6.4870882271475e-185,-0.354955832016075,0.286,0.337,1.83279703681598e-180,"Monocyte (Inflammatory)","Dleu2"
"Rps26",3.15723514435218e-184,-0.261346613665101,0.95,0.905,8.92013645333821e-180,"Monocyte (Inflammatory)","Rps26"
"Cfh",1.11592505485752e-182,-0.295038595434231,0.157,0.221,3.15282305748896e-178,"Monocyte (Inflammatory)","Cfh"
"Casp4",3.81065740995133e-182,-0.377513692156627,0.256,0.304,1.07662503803355e-177,"Monocyte (Inflammatory)","Casp4"
"Oas3.1",8.66693203022218e-181,-0.339978569132458,0.169,0.226,2.44866830649867e-176,"Monocyte (Inflammatory)","Oas3"
"Ifit3.1",3.7931978087751e-178,-0.65635018559338,0.184,0.239,1.07169217691323e-173,"Monocyte (Inflammatory)","Ifit3"
"Ncf4.1",3.56451019365272e-177,-0.336319419912471,0.596,0.566,1.0070810650127e-172,"Monocyte (Inflammatory)","Ncf4"
"Maff",1.62371720759593e-176,-0.40589220319606,0.229,0.279,4.58748822662078e-172,"Monocyte (Inflammatory)","Maff"
"Lyz1.1",6.15340346093454e-175,-0.469834158303397,0.198,0.126,1.73852107981783e-170,"Monocyte (Inflammatory)","Lyz1"
"Slamf8",2.40223138160169e-174,-0.275523251257541,0.146,0.204,6.78702432243925e-170,"Monocyte (Inflammatory)","Slamf8"
"AI607873.1",1.48634182861925e-171,-0.399112895721885,0.765,0.703,4.19936156839798e-167,"Monocyte (Inflammatory)","AI607873"
"Tob2",1.36818349131109e-164,-0.416450121427277,0.522,0.513,3.86552881800122e-160,"Monocyte (Inflammatory)","Tob2"
"Fau",6.67091826799139e-163,-0.52809299789297,0.536,0.548,1.88473453825561e-158,"Monocyte (Inflammatory)","Fau"
"Batf3",8.97816135674131e-163,-0.297673448269447,0.15,0.203,2.53659992812012e-158,"Monocyte (Inflammatory)","Batf3"
"Fyn",1.46830086415587e-162,-0.331390318994761,0.144,0.195,4.14839043149958e-158,"Monocyte (Inflammatory)","Fyn"
"Baz1a.1",3.42867873242304e-162,-0.390892471003361,0.496,0.485,9.68704602271483e-158,"Monocyte (Inflammatory)","Baz1a"
"Ifit2",6.15091975813823e-162,-0.489683121139231,0.105,0.157,1.73781935926679e-157,"Monocyte (Inflammatory)","Ifit2"
"Samd9l",8.88652623382422e-162,-0.335409887913041,0.198,0.249,2.51071025684236e-157,"Monocyte (Inflammatory)","Samd9l"
"Relb",3.09849877416522e-159,-0.359513771451382,0.253,0.298,8.75418858664899e-155,"Monocyte (Inflammatory)","Relb"
"Csrnp1.1",4.91838130716743e-157,-0.478548241116227,0.475,0.475,1.38959027071402e-152,"Monocyte (Inflammatory)","Csrnp1"
"Ehd1.1",4.20492779570604e-153,-0.484874415347454,0.413,0.428,1.18801825012083e-148,"Monocyte (Inflammatory)","Ehd1"
"Clec4n.1",4.20853216760347e-153,-0.337368769688874,0.324,0.376,1.18903659331301e-148,"Monocyte (Inflammatory)","Clec4n"
"Ccl5",4.63147593249613e-153,-1.49932379662979,0.057,0.101,1.30853089520813e-148,"Monocyte (Inflammatory)","Ccl5"
"Pid1.1",2.73423195675866e-151,-0.371450925396298,0.619,0.583,7.72502554743024e-147,"Monocyte (Inflammatory)","Pid1"
"Mt1",3.80367208703818e-151,-0.409900967594019,0.879,0.707,1.0746514747509e-146,"Monocyte (Inflammatory)","Mt1"
"Klf6",8.07340655706309e-151,-0.374914034056831,0.886,0.833,2.28097955456703e-146,"Monocyte (Inflammatory)","Klf6"
"Nupr1.1",1.2136353349337e-148,-0.359234178808048,0.268,0.31,3.42888391178818e-144,"Monocyte (Inflammatory)","Nupr1"
"Vps37b.1",5.66956619604169e-147,-0.436110004176919,0.288,0.323,1.60182253736766e-142,"Monocyte (Inflammatory)","Vps37b"
"Fam26f",2.62613847018394e-146,-0.383288477843839,0.199,0.248,7.41962901981068e-142,"Monocyte (Inflammatory)","Fam26f"
"Mefv.1",9.90508348682751e-146,-0.309733118549209,0.159,0.21,2.79848323753338e-141,"Monocyte (Inflammatory)","Mefv"
"Hpgd.1",1.04113148193766e-145,-0.296102627700034,0.137,0.193,2.94150877591847e-141,"Monocyte (Inflammatory)","Hpgd"
"Ier3.1",2.64035727358027e-145,-0.631385689370714,0.742,0.686,7.45980140504635e-141,"Monocyte (Inflammatory)","Ier3"
"Jhdm1d.1",2.25942596656042e-142,-0.380937557824232,0.466,0.464,6.38355618332314e-138,"Monocyte (Inflammatory)","Jhdm1d"
"Stk40.1",3.1635673262816e-141,-0.299155694045568,0.231,0.272,8.93802676694342e-137,"Monocyte (Inflammatory)","Stk40"
"Cnn2",3.56766619839981e-140,-0.41078923983182,0.406,0.414,1.0079727310339e-135,"Monocyte (Inflammatory)","Cnn2"
"Ppfia4.1",8.94420831792642e-140,-0.306609293372987,0.225,0.271,2.52700717606375e-135,"Monocyte (Inflammatory)","Ppfia4"
