"x"
"Xkr4"
"Sox17"
"Mrpl15"
"Lypla1"
"Tcea1"
"Gm6104"
"Rgs20"
"Atp6v1h"
"Rb1cc1"
"Pcmtd1"
"Gm26901"
"Sntg1"
"Rrs1"
"Adhfe1"
"2610203C22Rik"
"3110035E14Rik"
"Mybl1"
"Vcpip1"
"Sgk3"
"Mcmdc2"
"Snhg6"
"Ppp1r42"
"Cops5"
"Cspp1"
"Arfgef1"
"Gm26348"
"Cpa6"
"Prex2"
"Sulf1"
"Slco5a1"
"Ncoa2"
"Tram1"
"Lactb2"
"Eya1"
"Msc"
"Gm9947"
"Trpa1"
"Kcnb2"
"Terf1"
"Sbspon"
"4930444P10Rik"
"Rpl7"
"Rdh10"
"Stau2"
"Ube2w"
"Tceb1"
"D030040B21Rik"
"Tmem70"
"Ly96"
"Gm5828"
"Jph1"
"Gdap1"
"Pi15"
"Gm16070"
"Crispld1"
"Tfap2b"
"Il17a"
"Il17f"
"Mcm3"
"6720483E21Rik"
"Paqr8"
"Efhc1"
"Tram2"
"Tmem14a"
"Gsta3"
"Khdc1a"
"Khdc1c"
"Kcnq5"
"Gm26580"
"Rims1"
"Ogfrl1"
"B3gat2"
"Smap1"
"1110058L19Rik"
"Fam135a"
"Col19a1"
"Lmbrd1"
"Phf3"
"Ptp4a1"
"Khdrbs2"
"Prim2"
"1700001G17Rik"
"Rab23"
"Bag2"
"Zfp451"
"Bend6"
"Dst"
"D630036G22Rik"
"Ccdc115"
"Imp4"
"Ptpn18"
"Arhgef4"
"Fam168b"
"Plekhb2"
"Hs6st1"
"Uggt1"
"Neurl3"
"Arid5a"
"Kansl3"
"Lman2l"
"Cnnm4"
"Cnnm3"
"Ankrd23"
"Ankrd39"
"Sema4c"
"D430040D24Rik"
"Fam178b"
"Cox5b"
"Actr1b"
"Zap70"
"Tmem131"
"Vwa3b"
"Inpp4a"
"Coa5"
"Unc50"
"Mgat4a"
"2010300C02Rik"
"4930556I23Rik"
"Tsga10"
"Lipt1"
"Mitd1"
"Mrpl30"
"Txndc9"
"Eif5b"
"Rev1"
"Aff3"
"Gm16152"
"Lonrf2"
"Chst10"
"Pdcl3"
"Npas2"
"Rpl31"
"Tbc1d8"
"Gm24826"
"Cnot11"
"Gm15832"
"Rnf149"
"Gm23722"
"Creg2"
"D930019O06Rik"
"Rfx8"
"Gm3646"
"Map4k4"
"Gm16894"
"Il1r2"
"Il1r1"
"Il1rl2"
"Il1rl1"
"Il18r1"
"Il18rap"
"Slc9a4"
"Mfsd9"
"Tmem182"
"Pou3f3"
"Mrps9"
"Tgfbrap1"
"8430432A02Rik"
"AI597479"
"Fhl2"
"Nck2"
"1500015O10Rik"
"Uxs1"
"Tpp2"
"Mettl21c"
"Gm8251"
"Tex30"
"Kdelc1"
"Bivm"
"Ercc5"
"Gulp1"
"Col3a1"
"Col5a2"
"Wdr75"
"Slc40a1"
"Dnah7b"
"Slc39a10"
"Tmeff2"
"Sdpr"
"Nabp1"
"Myo1b"
"Gm8420"
"Stat4"
"Gm3940"
"Stat1"
"Gls"
"Nab1"
"Tmem194b"
"Mfsd6"
"Inpp1"
"Hibch"
"1700019D03Rik"
"Mstn"
"Pms1"
"Ormdl1"
"Osgepl1"
"Asnsd1"
"Dnah7a"
"Stk17b"
"Hecw2"
"Ccdc150"
"Gtf3c3"
"Pgap1"
"Ankrd44"
"Sf3b1"
"Coq10b"
"Hspd1"
"Hspe1"
"Mob4"
"Rftn2"
"Gm10561"
"Mars2"
"Boll"
"Plcl1"
"Satb2"
"9130024F11Rik"
"4930558J18Rik"
"1700066M21Rik"
"Tyw5"
"9430016H08Rik"
"Spats2l"
"Kctd18"
"Sgol2"
"Aox1"
"Aox3"
"Aox4"
"Aox2"
"Bzw1"
"Clk1"
"Ppil3"
"Nif3l1"
"Orc2"
"Gm15834"
"Fam126b"
"Ndufb3"
"Gm10068"
"Cflar"
"Casp8"
"Trak2"
"Stradb"
"Als2cr11.1"
"Tmem237"
"G730003C15Rik"
"Mpp4"
"Als2"
"Cdk15"
"Fzd7"
"Gm973"
"Sumo1"
"Nop58"
"Bmpr2"
"Fam117b"
"Ica1l"
"Wdr12"
"Carf"
"Nbeal1"
"Cyp20a1"
"Abi2"
"Raph1"
"Cd28"
"Gm11579"
"2310016D23Rik"
"Ctla4"
"Icos"
"Pard3b"
"Gm11610"
"Nrp2"
"Ino80d"
"Gm11602"
"Ndufs1"
"Eef1b2"
"Gpr1"
"Zdbf2"
"Adam23"
"Fastkd2"
"Klf7"
"Gm26649"
"Creb1"
"Mettl21a"
"2810408I11Rik"
"Ccnyl1"
"Fzd5"
"Plekhm3"
"Akr1cl"
"D630023F18Rik"
"Idh1"
"Pikfyve"
"Map2"
"Unc80"
"Rpe"
"Kansl1l"
"Acadl"
"Myl1"
"Lancl1"
"Cps1"
"Ikzf2"
"Bard1"
"Atic"
"Fn1"
"Apol7d"
"Mreg"
"Gm25360"
"D230017M19Rik"
"Gm24497"
"Gm25939"
"Pecr"
"Tmem169"
"Xrcc5"
"Smarcal1"
"Rpl37a"
"Igfbp2"
"Igfbp5"
"Tns1"
"Rufy4"
"Cxcr2"
"Cxcr1"
"Arpc2"
"Gpbar1"
"Aamp"
"Pnkd"
"Tmbim1"
"Gm216"
"Slc11a1"
"Ctdsp1"
"Vil1"
"Usp37"
"Rqcd1"
"Plcd4"
"Zfp142"
"Bcs1l"
"Rnf25"
"Stk36"
"Ttll4"
"Cyp27a1"
"Prkag3"
"Wnt6"
"Wnt10a"
"Ihh"
"Nhej1"
"Slc23a3"
"Cnppd1"
"Fam134a"
"Zfand2b"
"Abcb6"
"Atg9a"
"Ankzf1"
"Glb1l"
"Stk16"
"Tuba4a"
"Dnajb2"
"Ptprn"
"Resp18"
"Dnpep"
"Des"
"Gm15179"
"Speg"
"Gmppa"
"Chpf"
"Obsl1"
"Tmem198"
"Inha"
"Stk11ip"
"Slc4a3"
"Epha4"
"Pax3"
"Sgpp2"
"Farsb"
"Mogat1"
"Acsl3"
"Utp14b"
"Kcne4"
"Scg2"
"Ap1s3"
"Wdfy1"
"Mrpl44"
"Serpine2"
"Fam124b"
"Cul3"
"Dock10"
"Irs1"
"Rhbdd1"
"Col4a4"
"Col4a3"
"C430014B12Rik"
"Mff"
"Agfg1"
"Slc19a3"
"Ccl20"
"Sphkap"
"Pid1"
"Dner"
"Trip12"
"Fbxo36"
"C130026I21Rik"
"A530032D15Rik"
"A530040E14Rik"
"Gm16092"
"Sp110"
"Gm16094"
"Sp140"
"Gm10552"
"Gm17017"
"Sp100"
"A630001G21Rik"
"Cab39"
"Itm2c"
"4933407L21Rik"
"Gpr55"
"2810459M11Rik"
"Psmd1"
"Htr2b"
"Armc9"
"Gm16341"
"B3gnt7"
"Gm5258"
"Ncl"
"C130036L24Rik"
"Ptma"
"Pde6d"
"Cops7b"
"Nppc"
"Dis3l2"
"Ecel1"
"Chrnd"
"Chrng"
"Eif4e2"
"Efhd1"
"Gigyf2"
"Kcnj13"
"3110079O15Rik"
"Ngef"
"Neu2"
"Inpp5d"
"Atg16l1"
"5830472F04Rik"
"Sag"
"Dgkd"
"Usp40"
"Ugt1a7c"
"Ugt1a6a"
"Dnajb3"
"Mroh2a"
"Hjurp"
"Arl4c"
"Sh3bp4"
"Agap1"
"Gm26037"
"Iqca"
"Ackr3"
"Cops8"
"Col6a3"
"Mlph"
"Rab17"
"Lrrfip1"
"Rbm44"
"Ramp1"
"Ube2f"
"Gm26683"
"Scly"
"Gm17090"
"Espnl"
"Klhl30"
"Fam132b"
"Ilkap"
"Hes6"
"Per2"
"Traf3ip1"
"Asb1"
"Twist2"
"Hdac4"
"Hdac4.1"
"Gm26720"
"Ndufa10"
"Myeov2"
"Otos"
"Gpc1"
"Dusp28"
"5033417F24Rik"
"Rnpepl1"
"Capn10"
"Gpr35"
"Kif1a"
"Agxt"
"Sned1"
"Mterfd2"
"Pask"
"Ppp1r7"
"Ano7"
"Hdlbp"
"Gm17415"
"Sept2"
"Farp2"
